历史行情.指标排序沪深Ａ股 日期:2017-07-18,二 指标:MACD(12,26,9)   VR(24,6)   CR(26,10,20,40,62)   BRAR(26)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  VR	  MAVR	  CR	  MA1	  MA2	  MA3	  MA4	  BR	  AR	
000001	平安银行	2.25	10.89	234943184	2558434048	0.454	0.293	0.322	336.677	445.133	309.153	185.186	166.213	97.360	77.583	225.287	272.848	
000002	万 科Ａ	2.89	25.30	79183376	2004962432	0.894	0.983	-0.178	132.448	133.852	158.151	218.438	194.462	91.283	95.593	183.625	158.238	
000004	国农科技	-3.08	21.07	2478499	51674224	-2.729	-2.776	0.094	32.561	33.956	12.720	25.458	47.068	85.727	88.792	10.502	45.480	
000005	世纪星源	1.69	4.81	4628224	22091604	-0.102	-0.062	-0.081	104.080	111.893	68.831	116.708	104.870	64.191	69.798	82.424	97.973	
000006	深振业Ａ	1.11	8.19	9532278	77663040	-0.057	0.011	-0.135	98.806	105.373	62.154	127.066	137.570	102.437	93.189	72.727	104.478	
000007	全新好	2.24	14.60	13778573	191060800	-0.457	-0.187	-0.539	156.162	104.000	57.265	95.235	81.525	114.621	146.069	79.377	113.257	
000008	神州高铁	0.55	7.25	3710437	26530560	-0.017	-0.010	-0.013	103.460	120.298	88.121	138.324	101.142	61.188	74.304	76.757	73.936	
000009	中国宝安	2.12	7.72	20349112	155463520	0.015	0.077	-0.125	109.828	138.739	109.259	166.257	103.579	55.339	61.994	123.448	141.923	
000010	美丽生态	1.07	4.72	6495745	30344822	-0.102	-0.072	-0.060	68.420	72.608	60.190	119.273	84.745	54.192	67.171	61.735	74.699	
000011	深物业A	1.96	18.25	6979525	126869744	-0.233	0.044	-0.553	115.230	95.232	62.579	136.797	158.930	135.868	113.718	80.690	117.816	
000012	南 玻Ａ	1.60	8.25	11133282	105870528	0.089	0.067	0.045	171.994	189.131	141.667	156.426	99.140	54.074	62.694	138.830	135.450	
000014	沙河股份	2.05	16.89	2327167	39006428	-0.189	-0.168	-0.042	63.171	70.468	69.773	104.633	120.785	96.641	96.391	80.741	106.624	
000016	深康佳Ａ	1.20	5.05	20348784	100707040	0.146	0.170	-0.049	130.052	143.388	141.207	229.853	152.782	111.362	100.198	113.270	125.252	
000017	深中华A	3.44	7.81	3620250	27868948	-0.193	-0.085	-0.215	102.325	110.802	58.667	142.524	100.241	65.536	71.047	87.301	112.812	
000018	神州长城	0.57	7.09	11129346	78422656	-0.182	-0.129	-0.105	94.152	107.489	69.310	111.405	96.542	70.758	90.309	72.381	82.373	
000019	深深宝Ａ	3.68	10.72	10135293	107897560	-0.171	0.073	-0.488	133.579	165.512	64.000	144.503	123.811	74.426	78.355	89.302	152.540	
000020	深华发Ａ					-0.871	-0.695	-0.353	67.336	65.710	59.300	69.505	101.221	151.220	121.819	61.981	72.590	
000021	深科技	1.25	8.10	6005824	48358400	-0.048	0.031	-0.158	117.524	114.515	75.830	138.178	128.245	79.090	76.653	77.600	73.171	
000022	深赤湾Ａ	0.46	28.12	5740109	160917360	0.270	0.585	-0.630	81.067	76.866	103.171	150.597	154.360	122.428	138.304	127.046	141.068	
000023	深天地Ａ	-0.52	25.05	860754	21344552	0.194	0.469	-0.548	73.358	77.117	102.344	150.362	113.572	72.398	73.234	90.578	107.801	
000025	特 力Ａ	2.00	46.00	5936756	272839168	1.311	2.181	-1.740	122.887	144.017	151.462	174.289	126.885	65.707	68.162	147.439	208.474	
000026	飞亚达Ａ	0.36	11.21	3795011	42115488	-0.184	-0.034	-0.298	135.135	148.967	71.809	125.951	90.435	67.666	87.006	66.802	75.484	
000027	深圳能源	0.46	6.52	7406863	48117916	-0.002	0.031	-0.065	133.843	143.607	85.862	143.166	125.637	91.801	97.233	116.102	122.124	
000028	国药一致	-2.90	75.38	1462180	110828984	0.198	0.898	-1.399	52.354	76.266	97.424	160.208	129.027	102.541	118.793	86.508	106.127	
000029	深深房Ａ					-0.013	0.034	-0.094	229.598	191.120	109.333	116.972	123.238	126.779	104.266	139.157	184.541	
000030	富奥股份	2.25	8.64	5970671	50691688	0.048	0.109	-0.122	100.271	109.523	106.228	175.107	142.354	97.608	98.175	62.898	93.031	
