历史行情.指标排序沪深Ａ股 日期:2017-07-18,二 指标:MACD(12,26,9)   PSY(12,6)   RSI(6,12,24)   MTM(12,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  PSY	  PSYMA	  RSI1	  RSI2	  RSI3	  MTM	  MTMMA	
000001	平安银行	2.25	10.89	234943184	2558434048	0.454	0.293	0.322	75.000	72.222	91.316	89.681	83.487	1.660	1.348	
000002	万 科Ａ	2.89	25.30	79183376	2004962432	0.894	0.983	-0.178	50.000	44.444	61.953	61.989	61.971	0.140	0.138	
000004	国农科技	-3.08	21.07	2478499	51674224	-2.729	-2.776	0.094	25.000	30.556	3.327	7.672	16.004	-4.580	-2.327	
000005	世纪星源	1.69	4.81	4628224	22091604	-0.102	-0.062	-0.081	58.333	55.556	24.106	29.607	34.809	-0.430	-0.232	
000006	深振业Ａ	1.11	8.19	9532278	77663040	-0.057	0.011	-0.135	33.333	33.333	30.150	37.546	44.674	-0.620	-0.340	
000007	全新好	2.24	14.60	13778573	191060800	-0.457	-0.187	-0.539	41.667	45.833	19.212	25.976	34.996	-2.370	-1.125	
000008	神州高铁	0.55	7.25	3710437	26530560	-0.017	-0.010	-0.013	50.000	48.611	35.802	42.619	42.488	-0.030	0.043	
000009	中国宝安	2.12	7.72	20349112	155463520	0.015	0.077	-0.125	41.667	41.667	33.529	40.983	43.893	-0.370	-0.063	
000010	美丽生态	1.07	4.72	6495745	30344822	-0.102	-0.072	-0.060	33.333	33.333	21.157	30.091	34.973	-0.330	-0.120	
000011	深物业A	1.96	18.25	6979525	126869744	-0.233	0.044	-0.553	50.000	44.444	30.171	37.502	45.449	-1.750	-1.425	
000012	南 玻Ａ	1.60	8.25	11133282	105870528	0.089	0.067	0.045	58.333	61.111	49.684	53.553	50.505	0.220	0.375	
000014	沙河股份	2.05	16.89	2327167	39006428	-0.189	-0.168	-0.042	33.333	30.556	50.801	45.329	45.214	0.050	-0.265	
000016	深康佳Ａ	1.20	5.05	20348784	100707040	0.146	0.170	-0.049	41.667	50.000	38.048	49.690	55.080	0.160	0.517	
000017	深中华A	3.44	7.81	3620250	27868948	-0.193	-0.085	-0.215	41.667	38.889	26.248	30.754	35.914	-0.950	-0.548	
000018	神州长城	0.57	7.09	11129346	78422656	-0.182	-0.129	-0.105	41.667	40.278	19.493	30.414	37.519	-0.420	-0.403	
000019	深深宝Ａ	3.68	10.72	10135293	107897560	-0.171	0.073	-0.488	50.000	51.389	26.836	33.962	40.521	-1.450	-0.715	
000020	深华发Ａ					-0.871	-0.695	-0.353	25.000	26.389	23.774	31.043	38.062	-2.660	-2.475	
000021	深科技	1.25	8.10	6005824	48358400	-0.048	0.031	-0.158	33.333	30.556	24.204	33.777	41.136	-0.480	-0.247	
000022	深赤湾Ａ	0.46	28.12	5740109	160917360	0.270	0.585	-0.630	41.667	30.556	38.115	45.280	51.355	-1.630	-1.867	
000023	深天地Ａ	-0.52	25.05	860754	21344552	0.194	0.469	-0.548	25.000	30.556	27.602	41.761	46.881	-2.010	-1.047	
000025	特 力Ａ	2.00	46.00	5936756	272839168	1.311	2.181	-1.740	33.333	37.500	34.670	45.407	49.962	-5.740	-1.335	
000026	飞亚达Ａ	0.36	11.21	3795011	42115488	-0.184	-0.034	-0.298	50.000	50.000	14.091	25.303	34.353	-1.230	-0.507	
000027	深圳能源	0.46	6.52	7406863	48117916	-0.002	0.031	-0.065	66.667	63.889	24.819	35.988	43.709	-0.210	-0.045	
000028	国药一致	-2.90	75.38	1462180	110828984	0.198	0.898	-1.399	16.667	30.556	17.326	33.592	44.404	-5.520	-1.400	
000029	深深房Ａ					-0.013	0.034	-0.094	41.667	29.167	56.060	51.942	52.311	-0.080	-0.423	
000030	富奥股份	2.25	8.64	5970671	50691688	0.048	0.109	-0.122	41.667	43.056	42.934	47.490	51.705	-0.300	-0.190	
000031	中粮地产	1.13	7.18	7136523	50934692	-0.037	0.004	-0.081	50.000	48.611	25.732	33.903	39.911	-0.350	-0.053	
000032	深桑达Ａ					0.135	0.099	0.073	41.667	47.222	56.964	55.568	53.537	0.620	0.755	
000034	神州数码	-9.98	22.01	321400	7074014	0.251	0.345	-0.187	50.000	50.000	31.986	40.891	44.806	-1.310	-0.042	
