历史行情.指标排序沪深Ａ股 日期:2017-07-18,二 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
000001	平安银行	2.25	10.89	234943184	2558434048	0.454	0.293	0.322	13.592	12.069	109.492	137566336.0	126338232.0	
000002	万 科Ａ	2.89	25.30	79183376	2004962432	0.894	0.983	-0.178	42.813	23.372	102.485	129479832.0	127907640.0	
000004	国农科技	-3.08	21.07	2478499	51674224	-2.729	-2.776	0.094	86.225	95.804	-255.097	4043946.3	4228293.0	
000005	世纪星源	1.69	4.81	4628224	22091604	-0.102	-0.062	-0.081	86.765	89.024	-234.570	23854324.0	23893086.0	
000006	深振业Ａ	1.11	8.19	9532278	77663040	-0.057	0.011	-0.135	70.476	71.818	-198.752	56498684.0	56757228.0	
000007	全新好	2.24	14.60	13778573	191060800	-0.457	-0.187	-0.539	65.070	65.070	-194.784	5868496.0	5790053.5	
000008	神州高铁	0.55	7.25	3710437	26530560	-0.017	-0.010	-0.013	50.980	50.980	-121.450	8867799.0	8832665.0	
000009	中国宝安	2.12	7.72	20349112	155463520	0.015	0.077	-0.125	79.508	74.615	-181.253	66357220.0	66322240.0	
000010	美丽生态	1.07	4.72	6495745	30344822	-0.102	-0.072	-0.060	85.526	86.747	-245.797	7611849.5	7829341.5	
000011	深物业A	1.96	18.25	6979525	126869744	-0.233	0.044	-0.553	78.261	83.766	-174.214	21831852.0	21931952.0	
000012	南 玻Ａ	1.60	8.25	11133282	105870528	0.089	0.067	0.045	61.111	46.808	1.486	45722660.0	45168328.0	
000014	沙河股份	2.05	16.89	2327167	39006428	-0.189	-0.168	-0.042	50.000	74.641	-52.863	10058535.0	10166036.0	
000016	深康佳Ａ	1.20	5.05	20348784	100707040	0.146	0.170	-0.049	63.953	52.381	-62.698	39871568.0	39649180.0	
000017	深中华A	3.44	7.81	3620250	27868948	-0.193	-0.085	-0.215	80.745	81.437	-196.967	6903201.0	6950868.0	
000018	神州长城	0.57	7.09	11129346	78422656	-0.182	-0.129	-0.105	85.000	89.130	-194.618	4666402.5	4929408.5	
000019	深深宝Ａ	3.68	10.72	10135293	107897560	-0.171	0.073	-0.488	84.644	88.352	-194.945	19342530.0	19144394.0	
000020	深华发Ａ					-0.871	-0.695	-0.353	77.230	84.985	-111.148	4313078.0	4367112.5	
000021	深科技	1.25	8.10	6005824	48358400	-0.048	0.031	-0.158	82.222	82.222	-215.445	35608880.0	35695068.0	
000022	深赤湾Ａ	0.46	28.12	5740109	160917360	0.270	0.585	-0.630	75.476	79.567	-106.061	7219234.0	7529189.5	
000023	深天地Ａ	-0.52	25.05	860754	21344552	0.194	0.469	-0.548	69.091	65.175	-222.590	3299573.3	3365439.5	
000025	特 力Ａ	2.00	46.00	5936756	272839168	1.311	2.181	-1.740	84.114	44.180	-177.244	8450996.0	8476062.0	
000026	飞亚达Ａ	0.36	11.21	3795011	42115488	-0.184	-0.034	-0.298	85.641	85.641	-243.725	10572603.0	10557383.0	
000027	深圳能源	0.46	6.52	7406863	48117916	-0.002	0.031	-0.065	87.500	87.500	-235.068	47360828.0	47181916.0	
000028	国药一致	-2.90	75.38	1462180	110828984	0.198	0.898	-1.399	95.726	95.726	-187.527	1114564.4	1189434.0	
000029	深深房Ａ					-0.013	0.034	-0.094	37.374	73.276	37.449	25839494.0	25273098.0	
000030	富奥股份	2.25	8.64	5970671	50691688	0.048	0.109	-0.122	56.410	53.659	-136.030	19290400.0	19325776.0	
000031	中粮地产	1.13	7.18	7136523	50934692	-0.037	0.004	-0.081	76.712	76.712	-238.935	68948664.0	68976200.0	
000032	深桑达Ａ					0.135	0.099	0.073	34.266	34.510	41.441	6833944.0	6794280.5	
000034	神州数码	-9.98	22.01	321400	7074014	0.251	0.345	-0.187	100.000	75.814	-358.533	11302247.0	11109540.0	
000035	中国天楹	-1.80	6.53	11514561	73766696	-0.054	-0.020	-0.069	57.000	57.000	-237.288	10991579.0	11171233.0	
000036	华联控股	3.93	9.53	51915644	500399904	0.163	0.119	0.087	0.000	0.000	233.333	39970168.0	39303548.0	
