历史行情.指标排序自选股 日期:2017-07-19,三 指标:MACD(12,26,9)   KDJ(9,3,3)   DMI(7,6)   EXPMA(12,50)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  K	  D	  J	  PDI	  MDI	  ADX	  ADXR	  EXP1	  EXP2	
000001	平安银行	0.37	10.93	193307584	2131336320	0.486	0.331	0.309	86.249	85.010	88.726	47.383	2.755	93.977	62.813	10.235	9.414	
000002	万 科Ａ	-0.63	25.14	100807072	2526934272	0.872	0.961	-0.177	46.488	48.068	43.327	33.926	16.370	40.311	49.981	24.666	22.735	
000004	国农科技	1.38	21.36	1605202	33760444	-2.755	-2.772	0.034	17.926	18.826	16.126	0.000	68.478	100.000	87.746	23.781	30.172	
000005	世纪星源	1.46	4.88	4449336	21507850	-0.110	-0.072	-0.077	16.922	18.130	14.506	21.622	45.045	25.569	43.683	5.044	5.323	
000006	深振业Ａ	0.98	8.27	9973835	82087400	-0.067	-0.005	-0.125	35.461	29.910	46.563	8.025	49.383	62.047	50.224	8.424	8.476	
000007	全新好	-0.62	14.51	6156887	89021032	-0.546	-0.259	-0.574	26.394	24.881	29.419	1.183	49.277	69.612	50.416	15.817	16.580	
000008	神州高铁	2.90	7.46	8568428	63357300	-0.005	-0.009	0.008	63.665	59.655	71.684	21.186	38.136	37.709	39.385	7.349	7.480	
000009	中国宝安	3.37	7.98	33576772	262849744	0.011	0.064	-0.106	29.127	32.481	22.420	12.376	48.515	42.397	61.559	8.010	8.084	
000010	美丽生态	0.64	4.75	6086830	28693994	-0.115	-0.081	-0.069	19.345	26.358	5.321	5.505	55.963	41.018	39.661	4.968	5.320	
000011	深物业A	1.32	18.49	7232618	132713568	-0.276	-0.020	-0.511	32.179	31.512	33.513	17.843	45.490	52.678	59.574	19.131	19.116	
000012	南 玻Ａ	6.91	8.82	55060680	475593472	0.129	0.079	0.099	63.420	60.285	69.689	50.417	14.167	69.498	68.063	8.333	8.270	
000014	沙河股份	0.18	16.92	1679300	28351564	-0.173	-0.169	-0.008	43.738	31.127	68.960	20.849	20.463	19.166	23.658	16.898	17.296	
000016	深康佳Ａ	1.58	5.13	20037080	102253584	0.132	0.163	-0.062	44.540	55.898	21.824	10.651	44.379	45.630	72.815	5.166	4.875	
000017	深中华A	0.26	7.83	1912020	14918012	-0.222	-0.113	-0.218	17.321	20.898	10.169	0.000	57.642	57.969	48.318	8.287	8.839	
000018	神州长城	1.69	7.21	10898412	77729904	-0.188	-0.141	-0.095	22.252	26.486	13.785	6.707	54.878	56.014	47.693	7.425	7.933	
000019	深深宝Ａ	1.03	10.83	8230835	88565848	-0.233	0.012	-0.490	18.829	24.628	7.230	0.000	52.771	59.337	47.639	11.621	11.994	
000020	深华发Ａ					-0.871	-0.695	-0.353	27.375	24.550	33.024	0.362	41.049	67.386	62.669	20.186	21.643	
000021	深科技	1.23	8.20	7205557	58510956	-0.064	0.012	-0.152	22.500	27.516	12.470	7.692	55.944	65.350	60.402	8.409	8.525	
000022	深赤湾Ａ	1.71	28.60	7882542	221648432	0.217	0.511	-0.588	41.771	42.702	39.908	22.147	19.676	19.936	44.554	28.949	27.560	
000023	深天地Ａ	2.28	25.62	722050	18392702	0.137	0.402	-0.531	37.468	36.076	40.251	19.205	28.918	41.771	40.175	26.077	25.869	
000025	特 力Ａ	2.20	47.01	7052736	328562912	1.083	1.961	-1.756	23.820	27.347	16.765	19.674	28.259	24.123	28.812	48.390	46.012	
000026	飞亚达Ａ	0.80	11.30	5383623	60229440	-0.236	-0.075	-0.323	19.083	27.514	2.222	1.695	58.644	54.371	46.343	12.006	12.514	
000027	深圳能源	1.23	6.60	11704845	76784384	-0.010	0.023	-0.066	28.215	34.663	15.320	11.364	47.727	47.894	48.302	6.691	6.706	
000028	国药一致	1.37	76.41	1650931	125567808	-0.017	0.715	-1.465	17.329	25.756	0.475	0.000	30.303	72.420	53.960	78.543	77.523	
000029	深深房Ａ					-0.013	0.034	-0.094	44.125	32.133	68.110	23.462	16.538	50.281	41.386	11.083	10.987	
000030	富奥股份	2.20	8.83	10242415	89713200	0.053	0.098	-0.090	47.730	43.603	55.983	13.587	39.130	63.536	50.046	8.740	8.570	
000031	中粮地产	2.23	7.34	10066714	73548256	-0.043	-0.006	-0.075	36.431	41.745	25.803	23.611	42.361	32.371	35.514	7.434	7.572	
000032	深桑达Ａ					0.135	0.099	0.073	53.184	59.448	40.656	8.532	18.430	45.377	64.884	15.525	15.308	
000034	神州数码	-10.00	19.81	1246200	24687222	-0.048	0.266	-0.629	24.895	36.585	1.515	12.058	45.872	29.220	29.128	22.789	23.041	
000035	中国天楹	0.00	6.53	8111581	52308372	-0.072	-0.030	-0.083	42.837	44.096	40.317	0.000	54.268	89.438	75.564	6.759	6.932	
000036	华联控股	1.26	9.65	63483664	606081728	0.201	0.136	0.131	81.235	69.696	104.312	45.000	3.000	59.024	47.613	9.116	8.721	
000037	深南电A	0.00	9.92	2074130	20456128	-0.033	0.015	-0.096	33.360	33.965	32.149	24.096	16.867	30.656	37.404	10.065	10.178	
