历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000001	平安银行	0.37	10.93	193307584	2131336320	0.486	0.331	0.309	1.064	0.779	0.694	0.394	1160.454	953.231	
000002	万 科Ａ	-0.63	25.14	100807072	2526934272	0.872	0.961	-0.177	-0.133	0.444	0.623	0.768	158.268	152.938	
000004	国农科技	1.38	21.36	1605202	33760444	-2.755	-2.772	0.034	-2.425	-1.128	-1.410	-1.490	-5.030	-4.417	
000005	世纪星源	1.46	4.88	4449336	21507850	-0.110	-0.072	-0.077	-0.901	-0.489	-0.216	-0.102	-3.269	0.105	
000006	深振业Ａ	0.98	8.27	9973835	82087400	-0.067	-0.005	-0.125	-0.952	-0.542	-0.091	0.031	6.246	30.699	
000007	全新好	-0.62	14.51	6156887	89021032	-0.546	-0.259	-0.574	-1.159	-0.692	-0.313	-0.078	5.369	-3.041	
000008	神州高铁	2.90	7.46	8568428	63357300	-0.005	-0.009	0.008	-0.200	-0.174	0.033	0.042	8.397	7.285	
000009	中国宝安	3.37	7.98	33576772	262849744	0.011	0.064	-0.106	-0.639	-0.100	0.157	0.283	118.244	116.542	
000010	美丽生态	0.64	4.75	6086830	28693994	-0.115	-0.081	-0.069	-0.931	-0.479	-0.182	-0.101	-9.735	-1.567	
000011	深物业A	1.32	18.49	7232618	132713568	-0.276	-0.020	-0.511	-1.421	-0.931	-0.196	0.014	3.380	4.115	
000012	南 玻Ａ	6.91	8.82	55060680	475593472	0.129	0.079	0.099	0.175	0.262	0.255	0.178	83.394	53.565	
000014	沙河股份	0.18	16.92	1679300	28351564	-0.173	-0.169	-0.008	0.113	-0.259	-0.181	-0.163	-5.595	-2.788	
000016	深康佳Ａ	1.58	5.13	20037080	102253584	0.132	0.163	-0.062	-0.247	0.529	0.557	0.596	75.538	84.783	
000017	深中华A	0.26	7.83	1912020	14918012	-0.222	-0.113	-0.218	-1.405	-0.605	-0.210	-0.005	-1.362	0.953	
000018	神州长城	1.69	7.21	10898412	77729904	-0.188	-0.141	-0.095	-0.852	-0.577	-0.264	-0.153	-26.069	-18.638	
000019	深深宝Ａ	1.03	10.83	8230835	88565848	-0.233	0.012	-0.490	-1.863	-0.755	-0.093	0.214	18.363	31.786	
000020	深华发Ａ					-0.871	-0.695	-0.353	-1.089	-0.687	-0.600	-0.476	-3.175	-4.128	
000021	深科技	1.23	8.20	7205557	58510956	-0.064	0.012	-0.152	-0.769	-0.321	-0.023	0.127	2.615	5.755	
000022	深赤湾Ａ	1.71	28.60	7882542	221648432	0.217	0.511	-0.588	-1.043	-0.747	0.099	0.296	2.408	4.167	
000023	深天地Ａ	2.28	25.62	722050	18392702	0.137	0.402	-0.531	-1.303	-0.418	0.215	0.424	3.006	2.728	
000025	特 力Ａ	2.20	47.01	7052736	328562912	1.083	1.961	-1.756	-1.719	-0.238	0.604	1.006	42.589	58.612	
000026	飞亚达Ａ	0.80	11.30	5383623	60229440	-0.236	-0.075	-0.323	-1.340	-0.384	-0.101	0.076	-2.161	6.221	
