历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   VR(24,6)   CR(26,10,20,40,62)   BRAR(26)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  VR	  MAVR	  CR	  MA1	  MA2	  MA3	  MA4	  BR	  AR	
000001	平安银行	0.37	10.93	193307584	2131336320	0.486	0.331	0.309	385.737	441.832	352.899	200.195	166.905	100.655	78.120	217.838	275.000	
000002	万 科Ａ	-0.63	25.14	100807072	2526934272	0.872	0.961	-0.177	120.764	133.512	138.496	204.889	198.166	94.695	97.239	157.467	150.546	
000004	国农科技	1.38	21.36	1605202	33760444	-2.755	-2.772	0.034	35.986	34.225	15.683	23.807	43.334	84.947	88.544	12.964	58.444	
000005	世纪星源	1.46	4.88	4449336	21507850	-0.110	-0.072	-0.077	100.467	106.547	74.863	116.983	106.118	65.404	69.300	78.313	90.729	
000006	深振业Ａ	0.98	8.27	9973835	82087400	-0.067	-0.005	-0.125	94.506	97.671	68.923	125.756	136.696	104.087	93.429	76.298	104.545	
000007	全新好	-0.62	14.51	6156887	89021032	-0.546	-0.259	-0.574	129.924	108.301	65.092	97.044	82.055	111.972	144.291	78.971	123.184	
000008	神州高铁	2.90	7.46	8568428	63357300	-0.005	-0.009	0.008	112.402	117.352	109.770	142.019	105.015	61.289	74.232	89.503	75.648	
000009	中国宝安	3.37	7.98	33576772	262849744	0.011	0.064	-0.106	126.634	133.838	117.329	170.026	108.901	56.605	61.246	122.109	142.912	
000010	美丽生态	0.64	4.75	6086830	28693994	-0.115	-0.081	-0.069	64.963	71.195	66.832	123.575	87.431	54.518	66.760	58.794	70.000	
000011	深物业A	1.32	18.49	7232618	132713568	-0.276	-0.020	-0.511	110.402	99.540	70.121	131.446	156.504	137.003	114.366	84.704	117.491	
000012	南 玻Ａ	6.91	8.82	55060680	475593472	0.129	0.079	0.099	210.210	183.636	180.000	164.930	103.212	54.958	62.085	163.830	145.960	
000014	沙河股份	0.18	16.92	1679300	28351564	-0.173	-0.169	-0.008	60.205	63.025	75.220	102.850	119.128	97.566	96.372	76.514	98.956	
000016	深康佳Ａ	1.58	5.13	20037080	102253584	0.132	0.163	-0.062	126.030	137.057	150.265	238.233	162.264	112.899	100.316	114.953	131.472	
000017	深中华A	0.26	7.83	1912020	14918012	-0.222	-0.113	-0.218	96.717	101.795	62.399	144.734	104.082	66.289	71.527	85.600	114.423	
000018	神州长城	1.69	7.21	10898412	77729904	-0.188	-0.141	-0.095	90.498	100.739	75.535	111.397	97.467	71.428	89.906	70.347	79.530	
000019	深深宝Ａ	1.03	10.83	8230835	88565848	-0.233	0.012	-0.490	121.882	146.710	74.086	148.176	126.404	76.037	77.698	91.656	173.788	
000020	深华发Ａ					-0.871	-0.695	-0.353	67.336	65.710	59.300	69.505	101.221	151.220	121.819	61.981	72.590	
000021	深科技	1.23	8.20	7205557	58510956	-0.064	0.012	-0.152	119.108	116.781	81.733	136.611	127.841	81.379	76.141	76.471	73.494	
000022	深赤湾Ａ	1.71	28.60	7882542	221648432	0.217	0.511	-0.588	89.067	78.969	106.449	148.963	154.761	123.043	138.205	121.599	136.538	
000023	深天地Ａ	2.28	25.62	722050	18392702	0.137	0.402	-0.531	81.289	73.939	117.610	154.520	117.593	74.148	73.072	94.637	122.031	
000025	特 力Ａ	2.20	47.01	7052736	328562912	1.083	1.961	-1.756	120.843	133.931	154.521	177.178	133.604	68.155	67.387	148.309	204.447	
000026	飞亚达Ａ	0.80	11.30	5383623	60229440	-0.236	-0.075	-0.323	133.480	141.977	81.725	129.343	92.351	68.336	85.998	64.490	71.949	
000027	深圳能源	1.23	6.60	11704845	76784384	-0.010	0.023	-0.066	136.844	135.423	96.739	147.546	127.475	92.777	97.474	115.966	127.928	
000028	国药一致	1.37	76.41	1650931	125567808	-0.017	0.715	-1.465	57.710	67.751	93.182	161.596	133.339	101.751	118.812	89.577	109.809	
000029	深深房Ａ					-0.013	0.034	-0.094	229.598	191.120	109.333	116.972	123.238	126.779	104.266	139.157	184.541	
000030	富奥股份	2.20	8.83	10242415	89713200	0.053	0.098	-0.090	118.947	106.480	116.821	173.738	145.261	99.434	97.437	60.399	91.379	
000031	中粮地产	2.23	7.34	10066714	73548256	-0.043	-0.006	-0.075	104.319	101.727	92.381	149.294	110.011	69.238	78.637	94.444	121.387	
000032	深桑达Ａ					0.135	0.099	0.073	146.911	114.748	87.206	105.148	102.336	97.079	103.188	69.315	97.738	
000034	神州数码	-10.00	19.81	1246200	24687222	-0.048	0.266	-0.629	177.191	159.339	95.392	156.215	132.872	69.795	57.544	87.409	128.844	
000035	中国天楹	0.00	6.53	8111581	52308372	-0.072	-0.030	-0.083	79.361	101.404	62.249	120.455	97.579	71.323	97.329	33.673	37.857	
000036	华联控股	1.26	9.65	63483664	606081728	0.201	0.136	0.131	137.838	97.623	179.617	148.350	136.284	119.739	107.682	130.769	129.614	
000037	深南电A	0.00	9.92	2074130	20456128	-0.033	0.015	-0.096	79.862	82.698	83.882	135.413	136.162	80.095	92.460	73.882	102.235	
000038	深大通					-1.003	-0.936	-0.135	65.924	69.917	53.588	49.391	64.621	85.940	73.054	64.993	70.732	
000039	中集集团	2.85	17.66	18163136	317300800	0.156	0.226	-0.139	131.358	125.238	116.921	151.770	148.903	109.032	95.836	107.642	128.571	
000040	东旭蓝天	1.21	12.52	3415527	42399688	-0.024	0.079	-0.205	121.900	119.730	104.918	159.673	109.426	109.847	126.125	97.831	99.559	
000042	中洲控股	0.18	16.68	527025	8785008	-0.199	-0.228	0.058	106.694	79.675	69.008	70.573	86.264	85.388	86.207	67.198	50.102	
000043	中航地产	0.77	10.52	5559453	58279696	0.262	0.292	-0.059	155.472	153.837	137.697	205.705	132.581	70.764	89.872	127.842	154.404	
000045	深纺织Ａ	1.15	10.53	4053423	42356172	-0.327	-0.158	-0.337	91.711	96.447	52.895	120.045	111.210	88.579	74.272	66.011	87.447	
000046	泛海控股	1.34	8.30	3702435	30540634	-0.041	-0.021	-0.040	102.450	114.199	115.881	127.125	115.824	77.775	81.520	110.204	101.980	
000048	康达尔	-0.55	25.10	238255	5958560	-0.440	-0.293	-0.295	74.123	80.613	73.837	103.014	96.303	65.473	66.853	81.405	62.834	
000049	德赛电池	2.44	52.40	3349351	174321792	-0.293	-0.028	-0.530	116.513	116.270	106.562	108.143	86.645	105.860	136.720	84.421	94.350	
000050	深天马Ａ	3.33	22.02	58539256	1268541184	0.742	0.702	0.081	273.974	231.134	183.102	203.160	129.248	98.909	91.732	155.437	154.502	
000055	方大集团	1.72	7.09	6977475	49235576	-0.105	-0.094	-0.023	119.607	109.146	88.057	126.984	87.647	53.211	76.787	89.427	84.849	
000056	皇庭国际	2.42	12.70	2324117	29276624	0.203	0.150	0.105	178.433	160.145	140.180	123.341	108.712	79.296	76.061	112.766	115.311	
000058	深 赛 格	1.23	7.39	3299601	24226284	-0.156	-0.052	-0.207	103.162	115.001	91.003	143.553	117.730	61.887	62.197	89.589	132.082	
000059	华锦股份	6.39	11.65	70506720	798050432	0.313	0.243	0.142	171.094	161.908	159.403	179.283	117.016	76.019	65.203	126.243	163.430	
000060	中金岭南	4.58	11.87	107401600	1260688512	0.268	0.281	-0.026	252.662	236.622	149.067	203.851	156.323	81.503	69.680	132.632	149.713	
000061	农 产 品					-0.069	-0.095	0.053	140.067	133.370	119.161	102.130	56.699	42.567	60.409	121.094	154.976	
000062	深圳华强	2.85	24.94	4830865	119120568	-0.895	-0.682	-0.427	90.542	100.855	52.117	63.735	89.982	108.091	89.429	55.505	60.302	
000063	中兴通讯	2.72	22.67	57064872	1274264704	0.438	0.667	-0.458	131.186	148.426	119.685	199.541	234.746	169.212	153.983	110.837	137.950	
000065	北方国际	2.81	23.39	5681654	131979728	-0.581	-0.440	-0.283	105.926	108.191	73.673	118.647	88.384	61.447	101.094	76.540	87.394	
000066	中国长城	1.10	9.19	23496306	214259376	0.117	0.141	-0.049	269.158	274.639	134.439	165.735	90.200	64.328	90.616	136.913	142.599	
000068	华控赛格	5.77	6.60	10070889	65560972	-0.160	-0.130	-0.060	102.102	96.854	71.167	96.448	83.199	83.929	95.397	64.952	79.359	
000069	华侨城Ａ	3.07	9.40	49896192	464053408	0.058	0.163	-0.211	152.790	146.659	95.253	151.720	183.197	155.143	141.718	102.263	101.129	
000070	特发信息	0.39	10.18	4509427	45573620	-0.347	-0.196	-0.302	45.878	47.897	47.351	122.844	126.877	82.343	77.641	62.453	92.825	
000078	海王生物	0.16	6.09	17703872	106878888	0.033	0.045	-0.025	161.390	192.461	93.369	122.556	125.683	90.804	79.138	79.592	90.503	
000088	盐 田 港	1.60	9.50	16030754	151336592	-0.233	-0.110	-0.247	125.490	103.666	63.154	119.770	142.742	127.540	144.735	66.224	91.972	
000089	深圳机场	1.34	9.09	11034733	99666944	-0.044	0.027	-0.143	101.077	86.175	79.155	129.644	140.578	117.706	131.554	65.574	81.873	
000090	天健集团	1.52	11.37	19473548	219672144	0.209	0.279	-0.139	147.575	152.530	123.323	156.449	139.346	117.113	125.525	101.927	137.727	
000096	广聚能源	2.75	14.22	1249101	17714538	-0.259	-0.196	-0.125	66.843	61.845	70.902	97.035	95.060	82.502	100.122	78.427	82.231	
000099	中信海直					-0.284	-0.228	-0.112	73.202	73.815	58.916	75.427	85.803	113.799	105.133	87.037	72.059	
000100	TCL 集团					-0.010	0.001	-0.023	96.322	106.406	96.774	91.378	97.308	132.211	123.469	68.627	88.636	
000150	宜华健康	-0.25	24.22	918980	22175366	-0.203	-0.218	0.029	56.064	61.963	65.533	73.781	74.485	69.198	73.459	33.488	48.109	
000151	中成股份	1.87	17.39	4268691	73978448	-0.499	-0.281	-0.436	43.486	47.203	57.485	110.243	111.856	93.605	111.834	55.198	65.063	
000153	丰原药业	0.31	9.65	5545194	53237564	-0.776	-0.399	-0.755	61.437	85.131	56.993	98.233	101.591	142.302	142.293	62.178	126.563	
000156	华数传媒	0.86	14.09	2566809	35906720	-0.198	-0.108	-0.182	95.665	107.895	75.848	124.057	92.790	53.438	58.476	78.070	77.713	
000157	中联重科	1.93	4.76	101022768	478131936	0.057	0.037	0.040	169.683	148.614	206.364	156.522	132.903	80.688	88.920	140.298	148.437	
000158	常山股份	-0.19	10.78	16995304	184427824	-0.206	-0.025	-0.362	133.536	134.752	75.485	107.937	106.831	123.788	122.697	83.968	99.285	
000159	国际实业	1.60	6.36	8932810	56252536	-0.096	-0.034	-0.124	181.250	210.884	116.399	133.299	82.722	58.046	75.595	100.977	153.879	
000166	申万宏源	5.16	5.91	101457872	587338944	0.046	0.034	0.023	128.265	131.429	145.161	146.827	126.324	69.506	65.602	119.828	137.383	
000301	东方市场					-0.002	0.008	-0.020	118.008	120.997	115.789	110.753	83.734	95.363	125.226	88.235	115.730	
000333	美的集团	0.54	41.22	31519178	1304514816	0.498	0.878	-0.761	68.285	71.332	112.358	186.827	216.679	166.583	144.046	93.446	101.234	
000338	潍柴动力	4.76	7.04	114121040	1608569984	0.260	0.252	0.015	247.530	217.516	179.176	244.896	198.714	104.196	93.633	176.471	156.190	
000400	许继电气	1.49	17.04	8900929	149508688	0.089	0.231	-0.283	159.562	162.887	105.251	167.679	115.644	78.417	87.555	92.920	118.258	
000401	冀东水泥	2.26	15.40	54727656	840368448	-0.252	-0.199	-0.107	111.470	111.096	81.711	99.090	72.436	83.406	118.164	86.239	111.918	
000402	金 融 街	1.89	12.40	38448320	470180288	0.165	0.107	0.116	188.193	159.093	135.673	122.940	133.509	105.686	115.939	137.072	169.455	
000403	ST生化					0.407	0.023	0.769	225.631	218.235	189.210	70.983	62.533	77.509	109.733	169.417	166.997	
000404	华意压缩	1.83	7.24	10712100	76706072	-0.146	-0.076	-0.140	98.832	111.675	84.683	119.122	79.745	66.131	89.409	90.909	103.484	
000407	胜利股份	0.25	8.05	5164576	41520548	-0.391	-0.253	-0.277	37.857	47.728	31.830	110.272	119.177	80.279	109.023	60.981	49.563	
000408	藏格控股	0.75	13.50	1807607	24217608	-0.102	-0.078	-0.047	116.251	110.893	95.513	111.807	92.154	69.580	103.872	112.000	151.757	
000409	山东地矿	4.09	7.12	14263860	100861384	-0.677	-0.407	-0.539	51.314	58.597	58.100	104.926	85.772	67.593	110.822	71.774	149.746	
000410	*ST沈机	-0.12	8.34	10429529	87441088	0.280	0.207	0.146	108.358	114.371	165.343	150.186	95.866	47.766	58.231	155.598	153.586	
000411	英特集团	0.73	20.69	375960	7748517	-0.166	-0.053	-0.227	94.564	89.840	69.068	114.535	97.410	73.923	79.376	74.437	98.966	
000413	东旭光电	2.08	10.82	104984160	1123639296	0.097	0.243	-0.293	149.456	159.363	119.944	211.750	146.245	84.480	75.099	126.389	143.013	
000415	渤海金控	1.18	6.84	24235984	164035344	0.073	0.079	-0.013	179.515	173.666	150.338	180.680	114.029	82.471	89.272	118.013	159.398	
000416	民生控股	0.00	7.52	3854861	28770204	-0.136	-0.079	-0.114	64.216	76.549	74.832	137.958	95.533	56.791	54.201	56.352	70.758	
000417	合肥百货	1.59	8.30	3836131	31587150	0.042	0.069	-0.054	187.904	189.284	121.622	182.920	101.364	69.779	80.268	105.208	127.168	
000418	小天鹅Ａ	-0.16	44.50	2041753	90571432	-0.622	-0.425	-0.395	48.112	46.856	66.309	99.157	132.521	141.099	160.079	67.444	79.925	
000419	通程控股	2.30	6.67	3579656	24025206	-0.066	-0.028	-0.074	93.526	101.213	90.932	140.948	101.623	60.239	69.987	75.862	84.896	
000420	吉林化纤	2.06	3.47	33960916	117489520	0.069	0.030	0.079	240.814	212.613	193.671	130.619	84.570	50.937	61.801	101.802	141.304	
000421	南京公用	2.93	7.02	2653698	18331268	-0.056	-0.016	-0.080	132.664	140.716	100.243	149.119	112.028	63.407	63.989	106.154	134.132	
000422	湖北宜化	4.21	6.43	47619140	303962656	0.110	0.088	0.044	227.650	225.723	181.274	167.757	102.312	56.405	51.936	116.770	178.992	
000423	东阿阿胶	0.88	66.28	7022639	463123808	-0.605	-0.159	-0.893	95.732	87.081	64.976	122.711	152.406	130.716	162.508	54.179	66.600	
000425	徐工机械	3.92	3.98	129682144	509180384	0.083	0.079	0.007	176.240	176.965	170.811	242.503	149.023	66.773	90.228	133.981	162.637	
000426	兴业矿业	6.64	9.64	40884064	391553312	0.280	0.287	-0.014	171.945	175.490	174.154	202.043	163.135	101.848	77.826	125.668	150.456	
000428	华天酒店	1.06	4.77	4766679	22612876	-0.100	-0.064	-0.072	83.056	88.993	69.970	125.451	87.949	55.381	47.109	63.125	70.000	
000429	粤高速Ａ	0.33	9.26	48931792	445409536	0.087	0.007	0.159	144.064	96.438	114.308	111.850	135.031	126.432	131.425	111.881	97.106	
000430	张家界	0.69	10.15	1733884	17492596	-0.108	-0.043	-0.130	158.325	155.069	70.923	160.365	152.286	73.283	70.656	62.257	67.611	
000488	晨鸣纸业	5.00	15.55	54589320	833930816	0.870	0.810	0.120	171.358	204.484	202.391	299.329	206.960	99.896	89.007	151.184	161.265	
000498	山东路桥	1.82	8.38	30904160	260286176	0.277	0.150	0.252	476.819	369.051	253.637	146.656	96.949	59.838	68.573	183.590	194.915	
000501	鄂武商Ａ	3.11	17.23	6793577	113818968	-0.078	0.064	-0.285	80.975	73.691	67.574	150.744	156.699	99.117	87.049	69.278	96.017	
000502	绿景控股	0.65	10.85	2180905	23526498	-0.426	-0.277	-0.299	105.956	109.825	70.852	114.430	96.707	61.459	60.127	71.306	88.387	
000503	海虹控股					-2.068	-1.510	-1.118	48.442	72.720	52.833	66.699	51.554	64.957	72.524	52.574	72.782	
000504	南华生物	0.94	20.39	2190671	44604104	0.043	0.397	-0.707	111.822	109.458	80.560	140.229	163.939	140.923	113.973	85.771	88.546	
000505	珠江控股	0.00	9.77	3949695	38418788	-0.134	-0.157	0.046	113.479	138.089	123.862	87.712	76.878	91.944	109.097	124.784	135.035	
000506	中润资源					-0.304	-0.158	-0.293	68.097	67.106	64.098	105.039	124.248	110.957	123.963	66.206	97.393	
