历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   PSY(12,6)   RSI(6,12,24)   MTM(12,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  PSY	  PSYMA	  RSI1	  RSI2	  RSI3	  MTM	  MTMMA	
000001	平安银行	0.37	10.93	193307584	2131336320	0.486	0.331	0.309	75.000	72.222	91.692	89.954	83.774	1.690	1.463	
000002	万 科Ａ	-0.63	25.14	100807072	2526934272	0.872	0.961	-0.177	50.000	45.833	58.586	60.366	61.061	0.170	-0.258	
000004	国农科技	1.38	21.36	1605202	33760444	-2.755	-2.772	0.034	25.000	29.167	11.420	11.750	17.784	-4.320	-2.918	
000005	世纪星源	1.46	4.88	4449336	21507850	-0.110	-0.072	-0.077	58.333	55.556	33.662	34.948	37.424	-0.380	-0.295	
000006	深振业Ａ	0.98	8.27	9973835	82087400	-0.067	-0.005	-0.125	41.667	33.333	38.030	41.223	46.219	-0.370	-0.402	
000007	全新好	-0.62	14.51	6156887	89021032	-0.546	-0.259	-0.574	33.333	43.056	18.476	25.384	34.545	-2.580	-1.515	
000008	神州高铁	2.90	7.46	8568428	63357300	-0.005	-0.009	0.008	58.333	50.000	63.689	57.453	50.026	0.180	0.027	
000009	中国宝安	3.37	7.98	33576772	262849744	0.011	0.064	-0.106	50.000	43.056	48.666	49.322	48.578	-0.060	-0.120	
000010	美丽生态	0.64	4.75	6086830	28693994	-0.115	-0.081	-0.069	33.333	31.944	25.789	32.292	35.951	-0.360	-0.192	
000011	深物业A	1.32	18.49	7232618	132713568	-0.276	-0.020	-0.511	50.000	44.444	36.557	40.398	46.685	-1.570	-1.585	
000012	南 玻Ａ	6.91	8.82	55060680	475593472	0.129	0.079	0.099	58.333	59.722	72.328	68.336	60.150	0.750	0.393	
000014	沙河股份	0.18	16.92	1679300	28351564	-0.173	-0.169	-0.008	33.333	30.556	52.581	46.267	45.613	-0.080	-0.228	
000016	深康佳Ａ	1.58	5.13	20037080	102253584	0.132	0.163	-0.062	41.667	45.833	45.913	53.389	57.125	0.080	0.397	
000017	深中华A	0.26	7.83	1912020	14918012	-0.222	-0.113	-0.218	41.667	37.500	27.536	31.485	36.264	-0.950	-0.708	
000018	神州长城	1.69	7.21	10898412	77729904	-0.188	-0.141	-0.095	41.667	40.278	33.267	36.185	39.692	-0.440	-0.412	
000019	深深宝Ａ	1.03	10.83	8230835	88565848	-0.233	0.012	-0.490	50.000	48.611	30.368	35.836	41.460	-1.370	-1.037	
000020	深华发Ａ					-0.871	-0.695	-0.353	25.000	26.389	23.774	31.043	38.062	-2.660	-2.475	
000021	深科技	1.23	8.20	7205557	58510956	-0.064	0.012	-0.152	33.333	30.556	34.349	38.831	43.477	-0.540	-0.338	
000022	深赤湾Ａ	1.71	28.60	7882542	221648432	0.217	0.511	-0.588	50.000	34.722	45.286	48.430	52.737	-1.100	-1.685	
000023	深天地Ａ	2.28	25.62	722050	18392702	0.137	0.402	-0.531	33.333	29.167	41.305	46.881	49.125	-1.170	-1.537	
000025	特 力Ａ	2.20	47.01	7052736	328562912	1.083	1.961	-1.756	41.667	36.111	41.532	48.299	51.431	-4.620	-2.792	
000026	飞亚达Ａ	0.80	11.30	5383623	60229440	-0.236	-0.075	-0.323	50.000	48.611	19.880	28.254	35.724	-1.380	-0.795	
000027	深圳能源	1.23	6.60	11704845	76784384	-0.010	0.023	-0.066	66.667	63.889	38.348	42.715	46.558	-0.220	-0.110	
000028	国药一致	1.37	76.41	1650931	125567808	-0.017	0.715	-1.465	25.000	27.778	30.709	39.475	47.022	-4.420	-2.450	
000029	深深房Ａ					-0.013	0.034	-0.094	41.667	29.167	56.060	51.942	52.311	-0.080	-0.423	
000030	富奥股份	2.20	8.83	10242415	89713200	0.053	0.098	-0.090	41.667	41.667	57.217	55.471	55.830	-0.140	-0.250	
000031	中粮地产	2.23	7.34	10066714	73548256	-0.043	-0.006	-0.075	50.000	48.611	42.624	43.550	44.539	-0.300	-0.130	
000032	深桑达Ａ					0.135	0.099	0.073	41.667	47.222	56.964	55.568	53.537	0.620	0.755	
000034	神州数码	-10.00	19.81	1246200	24687222	-0.048	0.266	-0.629	41.667	47.222	20.042	30.077	37.198	-3.810	-1.077	
000035	中国天楹	0.00	6.53	8111581	52308372	-0.072	-0.030	-0.083	25.000	34.722	12.502	26.744	36.742	-0.510	-0.223	
000036	华联控股	1.26	9.65	63483664	606081728	0.201	0.136	0.131	58.333	52.778	87.903	78.160	69.005	0.760	0.375	
000037	深南电A	0.00	9.92	2074130	20456128	-0.033	0.015	-0.096	33.333	37.500	41.814	45.089	46.850	-0.530	-0.538	
000038	深大通					-1.003	-0.936	-0.135	41.667	44.444	21.312	26.795	31.561	-1.160	-1.530	
000039	中集集团	2.85	17.66	18163136	317300800	0.156	0.226	-0.139	58.333	50.000	55.093	54.565	54.945	0.010	-0.292	
000040	东旭蓝天	1.21	12.52	3415527	42399688	-0.024	0.079	-0.205	41.667	33.333	40.003	43.691	47.063	-0.550	-0.342	
000042	中洲控股	0.18	16.68	527025	8785008	-0.199	-0.228	0.058	66.667	54.167	49.528	40.470	40.512	-0.200	-0.308	
000043	中航地产	0.77	10.52	5559453	58279696	0.262	0.292	-0.059	66.667	68.056	46.320	53.678	53.757	0.430	1.098	
000045	深纺织Ａ	1.15	10.53	4053423	42356172	-0.327	-0.158	-0.337	41.667	36.111	26.393	31.285	39.139	-1.470	-1.217	
000046	泛海控股	1.34	8.30	3702435	30540634	-0.041	-0.021	-0.040	41.667	41.667	48.384	46.953	46.507	-0.290	-0.328	
000048	康达尔	-0.55	25.10	238255	5958560	-0.440	-0.293	-0.295	25.000	36.111	33.362	35.387	38.044	-1.920	-0.910	
000049	德赛电池	2.44	52.40	3349351	174321792	-0.293	-0.028	-0.530	58.333	56.944	49.660	48.621	49.348	-0.220	-0.455	
000050	深天马Ａ	3.33	22.02	58539256	1268541184	0.742	0.702	0.081	58.333	62.500	71.168	67.885	63.900	1.370	1.052	
000055	方大集团	1.72	7.09	6977475	49235576	-0.105	-0.094	-0.023	58.333	58.333	45.210	43.713	41.919	-0.330	-0.207	
000056	皇庭国际	2.42	12.70	2324117	29276624	0.203	0.150	0.105	50.000	50.000	66.289	64.202	59.830	0.500	0.678	
000058	深 赛 格	1.23	7.39	3299601	24226284	-0.156	-0.052	-0.207	41.667	38.889	28.091	34.077	38.575	-0.740	-0.565	
000059	华锦股份	6.39	11.65	70506720	798050432	0.313	0.243	0.142	58.333	54.167	68.636	66.696	61.583	1.140	1.083	
000060	中金岭南	4.58	11.87	107401600	1260688512	0.268	0.281	-0.026	58.333	61.111	68.295	65.718	62.471	0.480	0.292	
000061	农 产 品					-0.069	-0.095	0.053	50.000	51.389	60.537	53.590	45.120	0.030	0.023	
000062	深圳华强	2.85	24.94	4830865	119120568	-0.895	-0.682	-0.427	50.000	44.444	35.636	35.265	41.586	-2.180	-1.693	
000063	中兴通讯	2.72	22.67	57064872	1274264704	0.438	0.667	-0.458	50.000	45.833	46.002	50.582	56.213	0.070	-0.620	
000065	北方国际	2.81	23.39	5681654	131979728	-0.581	-0.440	-0.283	50.000	44.444	45.527	43.421	43.260	-1.970	-1.380	
000066	中国长城	1.10	9.19	23496306	214259376	0.117	0.141	-0.049	75.000	76.389	49.430	52.499	51.245	-0.100	0.415	
