历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
000001	平安银行	0.37	10.93	193307584	2131336320	0.486	0.331	0.309	11.650	10.345	102.317	139499424.0	126931520.0	
000002	万 科Ａ	-0.63	25.14	100807072	2526934272	0.872	0.961	-0.177	47.706	26.531	81.005	128471768.0	127977776.0	
000004	国农科技	1.38	21.36	1605202	33760444	-2.755	-2.772	0.034	80.727	94.223	-175.599	4059998.3	4216469.0	
000005	世纪星源	1.46	4.88	4449336	21507850	-0.110	-0.072	-0.077	76.471	80.488	-141.335	23898818.0	23896182.0	
000006	深振业Ａ	0.98	8.27	9973835	82087400	-0.067	-0.005	-0.125	62.500	63.551	-125.166	56598424.0	56782696.0	
000007	全新好	-0.62	14.51	6156887	89021032	-0.546	-0.259	-0.574	66.866	66.866	-133.419	5806927.0	5791085.5	
000008	神州高铁	2.90	7.46	8568428	63357300	-0.005	-0.009	0.008	9.804	9.804	65.003	8953483.0	8838701.0	
000009	中国宝安	3.37	7.98	33576772	262849744	0.011	0.064	-0.106	58.197	54.615	-89.388	66692988.0	66383304.0	
000010	美丽生态	0.64	4.75	6086830	28693994	-0.115	-0.081	-0.069	81.579	81.579	-151.324	7672718.0	7814722.0	
000011	深物业A	1.32	18.49	7232618	132713568	-0.276	-0.020	-0.511	65.505	78.571	-121.626	21904180.0	21916830.0	
000012	南 玻Ａ	6.91	8.82	55060680	475593472	0.129	0.079	0.099	3.409	2.727	155.707	46273264.0	45220268.0	
000014	沙河股份	0.18	16.92	1679300	28351564	-0.173	-0.169	-0.008	47.170	72.816	-9.643	10075328.0	10165990.0	
000016	深康佳Ａ	1.58	5.13	20037080	102253584	0.132	0.163	-0.062	56.626	44.762	-39.504	40071940.0	39669224.0	
000017	深中华A	0.26	7.83	1912020	14918012	-0.222	-0.113	-0.218	79.503	80.240	-139.427	6922321.0	6954706.5	
000018	神州长城	1.69	7.21	10898412	77729904	-0.188	-0.141	-0.095	73.000	80.435	-121.710	4775386.5	4936982.0	
000019	深深宝Ａ	1.03	10.83	8230835	88565848	-0.233	0.012	-0.490	80.524	85.227	-130.100	19424838.0	19206620.0	
000020	深华发Ａ					-0.871	-0.695	-0.353	77.230	84.985	-111.148	4313078.0	4367112.5	
000021	深科技	1.23	8.20	7205557	58510956	-0.064	0.012	-0.152	71.111	71.111	-136.152	35680936.0	35694788.0	
000022	深赤湾Ａ	1.71	28.60	7882542	221648432	0.217	0.511	-0.588	57.939	73.469	-72.112	7298059.5	7515286.5	
000023	深天地Ａ	2.28	25.62	722050	18392702	0.137	0.402	-0.531	53.041	54.086	-114.152	3306793.8	3363735.8	
000025	特 力Ａ	2.20	47.01	7052736	328562912	1.083	1.961	-1.756	73.597	40.017	-116.610	8521523.0	8495296.0	
000026	飞亚达Ａ	0.80	11.30	5383623	60229440	-0.236	-0.075	-0.323	81.026	81.026	-157.060	10626439.0	10564015.0	
000027	深圳能源	1.23	6.60	11704845	76784384	-0.010	0.023	-0.066	70.833	70.833	-138.672	47477876.0	47210088.0	
000028	国药一致	1.37	76.41	1650931	125567808	-0.017	0.715	-1.465	84.139	84.139	-144.416	1131073.8	1188232.8	
000029	深深房Ａ					-0.013	0.034	-0.094	37.374	73.276	37.449	25839494.0	25273098.0	
000030	富奥股份	2.20	8.83	10242415	89713200	0.053	0.098	-0.090	32.051	30.488	-19.663	19392824.0	19334460.0	
000031	中粮地产	2.23	7.34	10066714	73548256	-0.043	-0.006	-0.075	54.795	54.795	-109.567	69049336.0	68983648.0	
000032	深桑达Ａ					0.135	0.099	0.073	34.266	34.510	41.441	6833944.0	6794280.5	
000034	神州数码	-10.00	19.81	1246200	24687222	-0.048	0.266	-0.629	100.000	100.000	-344.034	11289785.0	11117255.0	
000035	中国天楹	0.00	6.53	8111581	52308372	-0.072	-0.030	-0.083	57.000	57.000	-158.971	10991579.0	11169226.0	
000036	华联控股	1.26	9.65	63483664	606081728	0.201	0.136	0.131	8.571	6.667	222.043	40605004.0	39326224.0	
000037	深南电A	0.00	9.92	2074130	20456128	-0.033	0.015	-0.096	70.732	81.250	-94.698	10843460.0	10896082.0	
000038	深大通					-1.003	-0.936	-0.135	78.342	88.575	-236.297	2348405.0	2384673.5	
000039	中集集团	2.85	17.66	18163136	317300800	0.156	0.226	-0.139	46.269	37.306	-28.651	27073854.0	26641422.0	
000040	东旭蓝天	1.21	12.52	3415527	42399688	-0.024	0.079	-0.205	61.765	61.765	-123.651	13984391.0	13946200.0	
000042	中洲控股	0.18	16.68	527025	8785008	-0.199	-0.228	0.058	35.366	69.886	57.522	7962510.0	7947504.0	
000043	中航地产	0.77	10.52	5559453	58279696	0.262	0.292	-0.059	44.271	40.094	-31.451	23303550.0	23026224.0	
000045	深纺织Ａ	1.15	10.53	4053423	42356172	-0.327	-0.158	-0.337	81.373	84.800	-134.026	10318678.0	10399875.0	
000046	泛海控股	1.34	8.30	3702435	30540634	-0.041	-0.021	-0.040	66.667	70.588	-77.407	26179562.0	26187590.0	
000048	康达尔	-0.55	25.10	238255	5958560	-0.440	-0.293	-0.295	73.232	73.232	-130.075	6332946.0	6343556.5	
000049	德赛电池	2.44	52.40	3349351	174321792	-0.293	-0.028	-0.530	66.508	64.516	-52.012	6019067.0	5967683.5	
000050	深天马Ａ	3.34	21.96	58539256	1268541184	0.742	0.702	0.081	9.121	4.861	242.146	31866106.0	29620264.0	
000055	方大集团	1.72	7.09	6977475	49235576	-0.105	-0.094	-0.023	71.429	74.286	-92.476	13673098.0	13534068.0	
000056	皇庭国际	2.42	12.70	2324117	29276624	0.203	0.150	0.105	18.116	14.535	137.742	5853752.5	5778147.0	
000058	深 赛 格	1.23	7.39	3299601	24226284	-0.156	-0.052	-0.207	83.660	84.848	-137.667	25186660.0	25212084.0	
000059	华锦股份	6.39	11.65	70506720	798050432	0.313	0.243	0.142	1.705	1.493	145.492	28562790.0	27028060.0	
000060	中金岭南	4.58	11.87	107401600	1260688512	0.268	0.281	-0.026	3.604	1.970	137.152	58203228.0	55011356.0	
000061	农 产 品					-0.069	-0.095	0.053	22.951	41.379	13.283	25037628.0	24955562.0	
000062	深圳华强	2.85	24.94	4830865	119120568	-0.895	-0.682	-0.427	67.760	80.399	-119.545	17084364.0	17150762.0	
000063	中兴通讯	2.72	22.67	57064872	1274264704	0.438	0.667	-0.458	51.724	46.020	-117.806	65751392.0	65599240.0	
000065	北方国际	2.81	23.39	5681654	131979728	-0.581	-0.440	-0.283	54.567	60.950	-72.231	7799843.0	7770122.0	
000066	中国长城	1.10	9.19	23496306	214259376	0.117	0.141	-0.049	53.333	41.026	-63.172	17790620.0	15866359.0	
000068	华控赛格	5.77	6.60	10070889	65560972	-0.160	-0.130	-0.060	52.381	53.271	-87.119	5079854.5	5133079.5	
000069	华侨城Ａ	3.07	9.40	49896192	464053408	0.058	0.163	-0.211	68.033	63.704	-130.011	89794480.0	89382040.0	
000070	特发信息	0.39	10.18	4509427	45573620	-0.347	-0.196	-0.302	79.717	84.249	-115.116	5790891.0	6163494.0	
000078	海王生物	0.16	6.09	17703872	106878888	0.033	0.045	-0.025	61.224	54.545	-42.765	35117772.0	34442292.0	
000088	盐 田 港	1.60	9.50	16030754	151336592	-0.233	-0.110	-0.247	76.923	85.971	-123.204	49394608.0	49391684.0	
000089	深圳机场	1.34	9.09	11034733	99666944	-0.044	0.027	-0.143	74.510	74.510	-117.591	22973088.0	22974388.0	
000090	天健集团	1.52	11.37	19473548	219672144	0.209	0.279	-0.139	69.822	57.561	-45.091	15740249.0	15263309.0	
000096	广聚能源	2.75	14.22	1249101	17714538	-0.259	-0.196	-0.125	41.546	44.749	-49.449	19876124.0	19908582.0	
000099	中信海直					-0.284	-0.228	-0.112	79.375	83.902	-78.241	26564356.0	26695574.0	
000100	TCL 集团					-0.010	0.001	-0.023	85.714	85.714	-113.802	280137600.0	281338048.0	
000150	宜华健康	-0.25	24.22	918980	22175366	-0.203	-0.218	0.029	36.928	36.928	-49.754	6775680.5	6813697.5	
000151	中成股份	1.87	17.39	4268691	73978448	-0.499	-0.281	-0.436	69.463	77.307	-120.189	18021726.0	18333270.0	
000153	丰原药业	0.31	9.65	5545194	53237564	-0.776	-0.399	-0.755	91.422	91.422	-103.175	9775448.0	10173477.0	
000156	华数传媒	0.86	14.09	2566809	35906720	-0.198	-0.108	-0.182	79.528	79.528	-131.231	3530259.0	3576592.5	
000157	中联重科	1.93	4.76	101022768	478131936	0.057	0.037	0.040	3.226	2.564	253.652	135176608.0	133312472.0	
000158	常山股份	-0.19	10.78	16995304	184427824	-0.206	-0.025	-0.362	79.508	79.508	-125.449	21294098.0	21183018.0	
000159	国际实业	1.60	6.36	8932810	56252536	-0.096	-0.034	-0.124	73.451	75.000	-143.564	24630390.0	24351582.0	
000166	申万宏源	5.16	5.91	101457872	587338944	0.046	0.034	0.023	0.000	0.000	103.030	42597560.0	41368540.0	
000301	东方市场					-0.002	0.008	-0.020	91.304	61.765	-116.080	36551424.0	36518072.0	
000333	美的集团	0.54	41.22	31519178	1304514816	0.498	0.878	-0.761	74.825	64.451	-93.867	37681700.0	39031604.0	
000338	潍柴动力	4.76	7.04	114121040	1608569984	0.260	0.252	0.015	2.597	1.370	129.423	26540478.0	23109000.0	
000400	许继电气	1.49	17.04	8900929	149508688	0.089	0.231	-0.283	73.182	61.217	-167.877	14771108.0	14597351.0	
000401	冀东水泥	2.26	15.40	54727656	840368448	-0.252	-0.199	-0.107	73.220	73.220	-96.087	24223002.0	22766788.0	
000402	金 融 街	1.89	12.40	38448320	470180288	0.165	0.107	0.116	7.965	6.522	188.266	78569504.0	77527104.0	
000403	ST生化					0.407	0.023	0.769	4.091	3.255	176.222	3008395.0	2891574.3	
000404	华意压缩	1.83	7.24	10712100	76706072	-0.146	-0.076	-0.140	71.930	77.465	-144.700	27074894.0	27098284.0	
000407	胜利股份	0.25	8.05	5164576	41520548	-0.391	-0.253	-0.277	84.577	88.768	-167.322	23165536.0	23576280.0	
000408	藏格控股	0.75	13.50	1807607	24217608	-0.102	-0.078	-0.047	47.959	68.323	-119.796	7909963.5	7896034.0	
000409	山东地矿	4.09	7.12	14263860	100861384	-0.677	-0.407	-0.539	87.245	87.245	-121.152	15320962.0	16240732.0	
000410	*ST沈机	-0.12	8.34	10429529	87441088	0.280	0.207	0.146	29.282	27.320	64.497	48262248.0	48266392.0	
000411	英特集团	0.73	20.69	375960	7748517	-0.166	-0.053	-0.227	79.061	83.140	-158.832	3411629.8	3412405.0	
000413	东旭光电	2.08	10.82	104984160	1123639296	0.097	0.243	-0.293	75.342	67.901	-105.693	77928200.0	74905432.0	
000415	渤海金控	1.18	6.84	24235984	164035344	0.073	0.079	-0.013	39.286	29.333	-12.865	30479986.0	29613896.0	
000416	民生控股	0.00	7.52	3854861	28770204	-0.136	-0.079	-0.114	72.549	75.221	-169.682	14579630.0	14642698.0	
000417	合肥百货	1.59	8.30	3836131	31587150	0.042	0.069	-0.054	66.250	56.383	-82.831	29441812.0	29269700.0	
000418	小天鹅Ａ	-0.16	44.50	2041753	90571432	-0.622	-0.425	-0.395	80.838	90.303	-98.223	6588717.0	6732330.5	
000419	通程控股	2.30	6.67	3579656	24025206	-0.066	-0.028	-0.074	54.688	54.688	-112.619	19792794.0	19779174.0	
000420	吉林化纤	2.06	3.47	33960916	117489520	0.069	0.030	0.079	8.333	7.843	155.555	19345472.0	18203268.0	
000421	南京公用	2.93	7.02	2653698	18331268	-0.056	-0.016	-0.080	54.286	66.316	-93.886	11521394.0	11474984.0	
000422	湖北宜化	4.21	6.43	47619140	303962656	0.110	0.088	0.044	14.925	10.989	178.220	31989716.0	30456408.0	
