历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000001	平安银行	0.37	10.93	193307584	2131336320	0.486	0.331	0.309	1.052	0.605	9.706	11.115	8.297	2.261	8.765	14.102	
000002	万 科Ａ	-0.63	25.14	100807072	2526934272	0.872	0.961	-0.177	2.951	3.329	24.504	26.911	22.098	0.782	1.936	5.100	
000004	国农科技	1.38	21.36	1605202	33760444	-2.755	-2.772	0.034	-8.430	-8.598	24.737	27.824	21.651	-6.745	-11.105	-15.197	
000005	世纪星源	1.46	4.88	4449336	21507850	-0.110	-0.072	-0.077	-0.142	-0.092	5.161	5.491	4.830	-1.745	-4.063	-6.169	
000006	深振业Ａ	0.98	8.27	9973835	82087400	-0.067	-0.005	-0.125	0.026	0.211	8.552	8.937	8.167	-0.839	-2.227	-3.772	
000007	全新好	-0.62	14.51	6156887	89021032	-0.546	-0.259	-0.574	-0.954	-0.378	16.504	18.438	14.571	-5.616	-10.712	-12.335	
000008	神州高铁	2.90	7.46	8568428	63357300	-0.005	-0.009	0.008	0.088	0.030	7.336	7.515	7.157	1.820	1.164	1.589	
000009	中国宝安	3.37	7.98	33576772	262849744	0.011	0.064	-0.106	0.307	0.339	8.077	8.543	7.611	0.293	-1.795	-0.741	
000010	美丽生态	0.64	4.75	6086830	28693994	-0.115	-0.081	-0.069	-0.138	-0.158	5.059	5.376	4.742	-3.127	-5.676	-6.687	
000011	深物业A	1.32	18.49	7232618	132713568	-0.276	-0.020	-0.511	-0.107	0.709	19.710	21.345	18.075	-1.823	-3.948	-7.072	
000012	南 玻Ａ	6.91	8.82	55060680	475593472	0.129	0.079	0.099	0.372	0.185	8.178	8.676	7.680	4.564	6.233	8.309	
000014	沙河股份	0.18	16.92	1679300	28351564	-0.173	-0.169	-0.008	-0.403	-0.314	16.955	17.292	16.619	0.804	0.178	-1.274	
000016	深康佳Ａ	1.58	5.13	20037080	102253584	0.132	0.163	-0.062	0.524	0.483	5.074	5.675	4.473	-1.441	-2.780	2.344	
000017	深中华A	0.26	7.83	1912020	14918012	-0.222	-0.113	-0.218	-0.256	-0.067	8.562	9.345	7.779	-3.154	-7.237	-9.059	
000018	神州长城	1.69	7.21	10898412	77729904	-0.188	-0.141	-0.095	-0.247	-0.254	7.602	8.127	7.076	-1.075	-3.856	-6.099	
000019	深深宝Ａ	1.03	10.83	8230835	88565848	-0.233	0.012	-0.490	0.221	0.614	12.099	13.523	10.674	-4.427	-8.877	-11.151	
000020	深华发Ａ					-0.871	-0.695	-0.353	-2.306	-1.532	21.031	23.389	18.672	-2.307	-5.146	-9.136	
000021	深科技	1.23	8.20	7205557	58510956	-0.064	0.012	-0.152	0.091	0.274	8.554	8.995	8.112	-1.205	-3.671	-4.252	
000022	深赤湾Ａ	1.71	28.60	7882542	221648432	0.217	0.511	-0.588	1.447	2.314	29.641	32.420	26.862	-1.487	-0.602	-3.968	
000023	深天地Ａ	2.28	25.62	722050	18392702	0.137	0.402	-0.531	1.316	1.874	26.583	28.240	24.927	-1.056	-2.530	-3.034	
000025	特 力Ａ	2.20	47.01	7052736	328562912	1.083	1.961	-1.756	5.877	7.640	49.687	54.074	45.300	-2.523	-4.257	-4.635	
000026	飞亚达Ａ	0.80	11.30	5383623	60229440	-0.236	-0.075	-0.323	-0.148	0.088	12.365	13.403	11.326	-4.183	-7.699	-8.647	
000027	深圳能源	1.23	6.60	11704845	76784384	-0.010	0.023	-0.066	0.099	0.151	6.741	6.954	6.529	-0.901	-2.113	-1.810	
000028	国药一致	1.37	76.41	1650931	125567808	-0.017	0.715	-1.465	2.139	3.694	79.608	83.575	75.642	-1.814	-3.971	-3.672	
000029	深深房Ａ					-0.013	0.034	-0.094	0.054	0.257	11.278	12.000	10.555	1.545	0.911	-1.183	
000030	富奥股份	2.20	8.83	10242415	89713200	0.053	0.098	-0.090	0.320	0.448	8.807	9.131	8.482	1.904	0.436	0.718	
000031	中粮地产	2.23	7.34	10066714	73548256	-0.043	-0.006	-0.075	0.077	0.085	7.500	7.792	7.207	-0.721	-2.101	-2.101	
000032	深桑达Ａ					0.135	0.099	0.073	0.413	0.207	15.276	16.163	14.390	0.512	0.652	3.351	
000034	神州数码	-10.00	19.81	1246200	24687222	-0.048	0.266	-0.629	0.881	1.347	23.188	25.637	20.738	-13.146	-14.502	-13.539	
000035	中国天楹	0.00	6.53	8111581	52308372	-0.072	-0.030	-0.083	-0.051	0.018	6.841	7.151	6.532	-2.465	-4.357	-4.480	
000036	华联控股	1.26	9.65	63483664	606081728	0.201	0.136	0.131	0.442	0.348	8.931	9.469	8.392	4.834	6.767	8.493	
000037	深南电A	0.00	9.92	2074130	20456128	-0.033	0.015	-0.096	0.166	0.353	10.201	10.769	9.632	-0.684	-1.620	-2.526	
000038	深大通					-1.003	-0.936	-0.135	-2.652	-2.749	21.966	24.506	19.426	-5.585	-6.976	-11.634	
000039	中集集团	2.85	17.66	18163136	317300800	0.156	0.226	-0.139	0.707	1.006	17.548	18.264	16.831	0.732	0.823	1.023	
000040	东旭蓝天	1.21	12.52	3415527	42399688	-0.024	0.079	-0.205	0.327	0.322	12.989	13.772	12.206	-2.187	-3.401	-3.171	
000042	中洲控股	0.18	16.68	527025	8785008	-0.199	-0.228	0.058	-0.619	-0.639	16.777	17.218	16.336	0.260	0.276	-0.975	
000043	中航地产	0.77	10.52	5559453	58279696	0.262	0.292	-0.059	1.103	0.880	10.342	11.668	9.016	-1.957	-2.847	2.764	
