历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   KDJ(9,3,3)   DMI(7,6)   EXPMA(12,50)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  K	  D	  J	  PDI	  MDI	  ADX	  ADXR	  EXP1	  EXP2	
000001	平安银行	-1.10	10.81	153733856	1695060992	0.495	0.364	0.263	84.483	84.835	83.781	30.945	3.257	92.639	66.276	10.323	9.469	
000002	万 科Ａ	0.84	25.35	63367704	1598967680	0.862	0.941	-0.158	47.471	47.869	46.676	31.418	16.870	40.771	47.084	24.771	22.838	
000004	国农科技	0.70	21.51	2184396	46875764	-2.732	-2.764	0.064	19.953	19.202	21.456	1.626	65.041	99.187	94.411	23.432	29.833	
000005	世纪星源	0.82	4.92	4975911	24525274	-0.112	-0.080	-0.065	21.085	19.115	25.026	14.286	51.020	34.516	43.370	5.025	5.307	
000006	深振业Ａ	2.66	8.49	21704990	185075840	-0.057	-0.015	-0.083	48.743	36.188	73.855	25.389	41.451	57.933	51.906	8.434	8.477	
000007	全新好	0.55	14.59	3230154	47050696	-0.604	-0.328	-0.551	31.674	27.145	40.730	1.176	46.405	84.144	57.361	15.628	16.502	
000008	神州高铁	1.21	7.55	9845823	73629632	0.011	-0.005	0.033	75.181	64.830	95.883	24.219	34.375	35.696	38.329	7.380	7.483	
000009	中国宝安	3.88	8.29	74857576	625342528	0.032	0.058	-0.051	41.823	35.595	54.278	34.335	32.189	38.454	54.456	8.053	8.092	
000010	美丽生态	0.63	4.78	6422120	30847716	-0.122	-0.089	-0.065	21.483	24.733	14.983	13.514	50.450	49.578	42.807	4.939	5.298	
000011	深物业A	4.81	19.38	15368515	300713280	-0.236	-0.063	-0.345	45.836	36.287	64.936	30.185	39.123	46.031	59.138	19.169	19.126	
000012	南 玻Ａ	-0.68	8.76	35421804	309317344	0.153	0.094	0.118	70.851	63.807	84.939	36.150	15.962	61.404	64.509	8.399	8.289	
000014	沙河股份	0.06	16.93	4202908	72149848	-0.158	-0.167	0.018	45.538	35.930	64.752	34.266	18.532	23.104	25.384	16.903	17.281	
000016	深康佳Ａ	0.78	5.17	31048846	163032272	0.122	0.155	-0.064	45.110	52.302	30.726	22.043	40.323	42.083	66.924	5.167	4.887	
000017	深中华A	2.17	8.00	2988079	23938788	-0.228	-0.136	-0.185	23.625	21.807	27.261	10.442	52.209	65.234	51.396	8.243	8.806	
000018	神州长城	-0.69	7.16	9646594	69499544	-0.196	-0.152	-0.087	22.806	25.259	17.899	9.615	46.154	62.344	48.492	7.384	7.903	
000019	深深宝Ａ	9.97	11.91	35320608	416151680	-0.193	-0.029	-0.327	32.528	27.261	43.060	21.206	45.530	57.078	48.825	11.666	11.991	
000020	深华发Ａ					-0.871	-0.695	-0.353	27.375	24.550	33.024	0.362	41.049	67.386	62.669	20.186	21.643	
000021	深科技	1.46	8.32	7926246	65828024	-0.066	-0.004	-0.126	29.560	28.197	32.285	16.667	47.917	67.317	59.573	8.395	8.517	
000022	深赤湾Ａ	-0.91	28.34	7446742	212941968	0.152	0.439	-0.574	39.453	41.619	35.122	15.039	22.559	23.190	42.313	28.855	27.590	
000023	深天地Ａ	2.81	26.34	1592655	42427764	0.148	0.351	-0.407	46.471	39.541	60.331	21.586	28.855	39.391	39.311	26.118	25.887	
000025	特 力Ａ					1.083	1.961	-1.756	23.820	27.347	16.765	19.674	28.259	24.123	28.812	48.390	46.012	
000026	飞亚达Ａ	0.18	11.32	5305050	59939476	-0.274	-0.115	-0.318	19.389	24.805	8.555	4.255	58.156	68.516	50.185	11.900	12.467	
