历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000001	平安银行	-1.10	10.81	153733856	1695060992	0.495	0.364	0.263	1.124	0.881	0.752	0.457	1114.075	1030.756	
000002	万 科Ａ	0.84	25.35	63367704	1598967680	0.862	0.941	-0.158	-0.063	0.354	0.595	0.732	203.774	152.631	
000004	国农科技	0.70	21.51	2184396	46875764	-2.732	-2.764	0.064	-2.333	-1.334	-1.419	-1.465	-3.858	-4.580	
000005	世纪星源	0.82	4.92	4975911	24525274	-0.112	-0.080	-0.065	-0.754	-0.536	-0.250	-0.124	-4.956	-1.491	
000006	深振业Ａ	2.66	8.49	21704990	185075840	-0.057	-0.015	-0.083	-0.695	-0.567	-0.111	0.004	21.175	23.951	
000007	全新好	0.55	14.59	3230154	47050696	-0.604	-0.328	-0.551	-1.082	-0.805	-0.398	-0.124	7.219	-0.597	
000008	神州高铁	1.21	7.55	9845823	73629632	0.011	-0.005	0.033	-0.107	-0.174	0.039	0.045	14.767	7.863	
000009	中国宝安	3.88	8.29	74857576	625342528	0.032	0.058	-0.051	-0.259	-0.178	0.132	0.265	162.052	118.838	
000010	美丽生态	0.63	4.78	6422120	30847716	-0.122	-0.089	-0.065	-0.737	-0.525	-0.225	-0.112	-9.420	-4.753	
000011	深物业A	4.81	19.38	15368515	300713280	-0.236	-0.063	-0.345	-0.789	-0.956	-0.227	-0.035	8.575	2.586	
000012	南 玻Ａ	-0.68	8.76	35421804	309317344	0.153	0.094	0.118	0.240	0.272	0.284	0.200	73.420	57.941	
000014	沙河股份	0.06	16.93	4202908	72149848	-0.158	-0.167	0.018	0.296	-0.155	-0.174	-0.168	-6.886	-3.755	
000016	深康佳Ａ	0.78	5.17	31048846	163032272	0.122	0.155	-0.064	-0.041	0.431	0.507	0.604	83.369	83.370	
000017	深中华A	2.17	8.00	2988079	23938788	-0.228	-0.136	-0.185	-1.100	-0.722	-0.270	-0.044	0.341	-0.136	
000018	神州长城	-0.69	7.16	9646594	69499544	-0.196	-0.152	-0.087	-0.657	-0.635	-0.298	-0.174	-36.065	-21.933	
000019	深深宝Ａ	9.97	11.91	35320608	416151680	-0.193	-0.029	-0.327	-1.307	-0.892	-0.161	0.155	54.305	32.899	
000020	深华发Ａ					-0.871	-0.695	-0.353	-1.089	-0.687	-0.600	-0.476	-3.175	-4.128	
000021	深科技	1.46	8.32	7926246	65828024	-0.066	-0.004	-0.126	-0.601	-0.387	-0.061	0.097	7.094	5.419	
000022	深赤湾Ａ	-0.91	28.34	7446742	212941968	0.152	0.439	-0.574	-0.770	-0.780	0.058	0.238	-9.790	1.592	
000023	深天地Ａ	2.81	26.34	1592655	42427764	0.148	0.351	-0.407	-0.822	-0.558	0.169	0.378	3.045	2.613	
000025	特 力Ａ					1.083	1.961	-1.756	-1.719	-0.238	0.604	1.006	42.589	58.612	
000026	飞亚达Ａ	0.18	11.32	5305050	59939476	-0.274	-0.115	-0.318	-1.316	-0.548	-0.174	0.043	-0.141	3.764	
000027	深圳能源	1.21	6.68	12703758	84374896	-0.010	0.016	-0.053	-0.102	0.040	0.025	0.107	18.427	12.701	
000028	国药一致	2.11	78.02	865120	67030484	-0.058	0.560	-1.236	-0.124	0.095	0.047	0.209	1.710	1.168	
000029	深深房Ａ					-0.013	0.034	-0.094	-0.583	-0.787	-0.042	0.086	52.933	49.458	
000030	富奥股份	-0.23	8.81	5928178	52425964	0.055	0.089	-0.069	-0.121	-0.088	0.109	0.234	20.915	21.121	
000031	中粮地产	0.27	7.36	10915028	80928504	-0.046	-0.014	-0.064	-0.439	-0.221	-0.023	0.066	22.488	17.612	
000032	深桑达Ａ					0.135	0.099	0.073	0.203	0.321	0.145	0.065	24.229	13.975	
000034	神州数码	-4.85	18.85	27615942	506681664	-0.359	0.141	-1.000	-0.227	0.219	0.069	0.290	25.176	9.141	
000035	中国天楹	-0.15	6.52	6162700	40176648	-0.086	-0.041	-0.089	-0.961	-0.266	-0.096	0.010	-5.592	-2.018	
000036	华联控股	6.32	10.26	79294064	798104960	0.277	0.164	0.227	1.031	0.251	0.321	0.211	178.182	98.770	
000037	深南电A	1.81	10.10	3328302	33221776	-0.028	0.006	-0.068	-0.231	-0.171	-0.024	0.081	6.624	4.569	
000038	深大通					-1.003	-0.936	-0.135	-1.351	-1.485	-0.637	-0.637	-2.962	-2.309	
000039	中集集团	0.96	17.83	23669280	425628032	0.171	0.215	-0.087	-0.064	-0.012	0.142	0.221	39.023	42.139	
000040	东旭蓝天	-0.56	12.45	2598692	32451926	-0.052	0.053	-0.210	-0.999	-0.318	0.054	0.188	10.403	14.657	
000042	中洲控股	2.70	17.13	1416775	23930296	-0.149	-0.212	0.126	-0.048	-0.248	-0.173	-0.211	-1.137	-2.640	
000043	中航地产	2.09	10.74	7154952	76615640	0.255	0.284	-0.059	0.413	0.531	0.537	0.582	34.891	32.996	
000045	深纺织Ａ	3.51	10.90	7677830	83577208	-0.320	-0.191	-0.259	-1.439	-1.054	-0.364	-0.125	-6.392	-6.966	
000046	泛海控股	3.25	8.57	13858077	117482048	-0.018	-0.021	0.005	-0.001	-0.153	-0.047	0.003	9.229	3.349	
000048	康达尔	1.39	25.45	292248	7485006	-0.438	-0.322	-0.232	-0.355	-0.736	-0.179	-0.078	-1.775	-1.328	
000049	德赛电池	1.11	52.98	4224247	223462032	-0.232	-0.069	-0.327	0.247	0.077	-0.022	0.078	4.536	-0.132	
000050	深天马Ａ	-0.54	21.90	41204776	908950272	0.790	0.719	0.142	0.523	0.310	0.610	0.666	179.193	143.328	
000055	方大集团	0.71	7.14	6965205	49458732	-0.098	-0.095	-0.008	-0.406	-0.404	-0.150	-0.099	-0.275	-0.209	
000056	皇庭国际	1.65	12.91	3196050	41223884	0.236	0.167	0.138	0.406	0.284	0.275	0.204	8.033	5.175	
000058	深 赛 格	0.95	7.46	4885300	36902188	-0.169	-0.075	-0.188	-1.067	-0.659	-0.189	0.044	-8.590	7.666	
000059	华锦股份	1.80	11.86	126845584	1544355328	0.364	0.267	0.194	0.936	0.563	0.519	0.409	170.091	174.063	
000060	中金岭南	0.42	11.92	84369504	1005649664	0.290	0.283	0.015	0.137	0.112	0.406	0.474	246.464	203.793	
000061	农 产 品					-0.069	-0.095	0.053	0.035	0.059	-0.028	-0.050	16.296	12.020	
