历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   VR(24,6)   CR(26,10,20,40,62)   BRAR(26)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  VR	  MAVR	  CR	  MA1	  MA2	  MA3	  MA4	  BR	  AR	
000001	平安银行	-1.10	10.81	153733856	1695060992	0.495	0.364	0.263	321.462	409.944	346.207	212.562	167.264	104.026	78.681	212.820	267.879	
000002	万 科Ａ	0.84	25.35	63367704	1598967680	0.862	0.941	-0.158	133.842	133.314	140.568	194.817	202.328	100.201	98.321	151.993	157.464	
000004	国农科技	0.70	21.51	2184396	46875764	-2.732	-2.764	0.064	40.774	35.368	18.055	22.773	39.027	84.307	88.008	14.496	62.084	
000005	世纪星源	0.82	4.92	4975911	24525274	-0.112	-0.080	-0.065	98.922	103.798	76.776	114.123	107.848	66.878	68.888	84.375	102.113	
000006	深振业Ａ	2.66	8.49	21704990	185075840	-0.057	-0.015	-0.083	115.432	98.585	84.702	123.780	136.141	105.795	93.872	97.193	113.027	
000007	全新好	0.55	14.59	3230154	47050696	-0.604	-0.328	-0.551	136.450	115.848	75.186	97.490	82.769	108.977	142.591	82.743	134.053	
000008	神州高铁	1.21	7.55	9845823	73629632	0.011	-0.005	0.033	130.099	116.922	112.321	143.493	110.384	61.776	74.153	87.234	78.462	
000009	中国宝安	3.88	8.29	74857576	625342528	0.032	0.058	-0.051	140.708	130.878	123.211	172.943	115.890	58.157	60.516	124.585	159.302	
000010	美丽生态	0.63	4.78	6422120	30847716	-0.122	-0.089	-0.065	78.377	68.932	71.250	123.899	92.003	54.789	66.834	65.625	75.301	
000011	深物业A	4.81	19.38	15368515	300713280	-0.236	-0.063	-0.345	132.217	104.895	88.889	126.306	154.202	138.316	115.228	106.584	127.967	
000012	南 玻Ａ	-0.68	8.76	35421804	309317344	0.153	0.094	0.118	156.799	179.253	193.989	171.530	108.780	56.349	61.438	152.217	136.150	
000014	沙河股份	0.06	16.93	4202908	72149848	-0.158	-0.167	0.018	62.462	61.146	92.322	99.746	117.256	98.599	96.427	94.456	109.850	
000016	深康佳Ａ	0.78	5.17	31048846	163032272	0.122	0.155	-0.064	150.157	136.808	165.609	247.859	170.278	114.298	101.041	127.907	143.000	
000017	深中华A	2.17	8.00	2988079	23938788	-0.228	-0.136	-0.185	110.989	100.374	67.878	145.634	108.239	67.394	71.697	91.081	120.065	
000018	神州长城	-0.69	7.16	9646594	69499544	-0.196	-0.152	-0.087	77.358	96.175	73.579	110.610	99.793	72.149	89.721	66.458	76.510	
000019	深深宝Ａ	9.97	11.91	35320608	416151680	-0.193	-0.029	-0.327	155.061	138.199	80.663	150.145	128.422	77.870	77.139	107.373	180.748	
000020	深华发Ａ					-0.871	-0.695	-0.353	67.336	65.710	59.300	69.505	101.221	151.220	121.819	61.981	72.590	
000021	深科技	1.46	8.32	7926246	65828024	-0.066	-0.004	-0.126	128.760	119.983	92.157	133.260	128.531	83.943	75.600	84.898	77.551	
000022	深赤湾Ａ	-0.91	28.34	7446742	212941968	0.152	0.439	-0.574	76.509	79.545	104.076	145.577	156.022	123.893	138.279	118.028	138.064	
000023	深天地Ａ	2.81	26.34	1592655	42427764	0.148	0.351	-0.407	80.934	73.388	135.678	158.236	121.307	76.071	73.088	108.577	133.206	
000025	特 力Ａ					1.083	1.961	-1.756	120.843	133.931	154.521	177.178	133.604	68.155	67.387	148.309	204.447	
000026	飞亚达Ａ	0.18	11.32	5305050	59939476	-0.274	-0.115	-0.318	137.486	136.357	85.216	131.356	96.093	69.552	85.020	67.789	75.276	
000027	深圳能源	1.21	6.68	12703758	84374896	-0.010	0.016	-0.053	158.048	137.383	102.909	152.465	130.091	93.842	97.617	123.077	129.464	
000028	国药一致	2.11	78.02	865120	67030484	-0.058	0.560	-1.236	65.055	63.001	101.497	161.311	137.871	101.696	119.121	98.499	118.501	
000029	深深房Ａ					-0.013	0.034	-0.094	229.598	191.120	109.333	116.972	123.238	126.779	104.266	139.157	184.541	
000030	富奥股份	-0.23	8.81	5928178	52425964	0.055	0.089	-0.069	104.669	104.926	118.484	172.328	149.508	101.624	96.841	64.140	94.056	
000031	中粮地产	0.27	7.36	10915028	80928504	-0.046	-0.014	-0.064	123.950	103.904	90.238	149.255	114.180	69.497	78.018	94.872	125.000	
000032	深桑达Ａ					0.135	0.099	0.073	146.911	114.748	87.206	105.148	102.336	97.079	103.188	69.315	97.738	
000034	神州数码	-4.85	18.85	27615942	506681664	-0.359	0.141	-1.000	103.633	153.875	81.068	147.957	135.519	73.914	57.351	73.606	148.571	
000035	中国天楹	-0.15	6.52	6162700	40176648	-0.086	-0.041	-0.089	74.200	92.992	67.748	119.912	100.496	71.655	96.825	34.915	39.643	
000036	华联控股	6.32	10.26	79294064	798104960	0.277	0.164	0.227	176.747	114.987	237.310	146.772	138.212	120.256	107.635	172.368	177.477	
000037	深南电A	1.81	10.10	3328302	33221776	-0.028	0.006	-0.068	95.781	84.389	93.980	130.492	137.500	82.897	91.902	82.353	107.954	
000038	深大通					-1.003	-0.936	-0.135	65.924	69.917	53.588	49.391	64.621	85.940	73.054	64.993	70.732	
000039	中集集团	0.96	17.83	23669280	425628032	0.171	0.215	-0.087	134.765	130.105	122.855	150.360	150.593	109.857	96.249	120.101	140.671	
000040	东旭蓝天	-0.56	12.45	2598692	32451926	-0.052	0.053	-0.210	109.973	120.173	105.598	164.890	114.544	106.497	125.633	97.614	98.462	
000042	中洲控股	2.70	17.13	1416775	23930296	-0.149	-0.212	0.126	141.018	92.443	73.951	68.120	84.626	85.701	86.057	75.632	61.864	
000043	中航地产	2.09	10.74	7154952	76615640	0.255	0.284	-0.059	162.140	155.669	147.543	212.652	139.826	71.983	88.893	137.002	167.018	
000045	深纺织Ａ	3.51	10.90	7677830	83577208	-0.320	-0.191	-0.259	108.790	95.685	67.496	118.130	110.591	89.943	74.457	84.325	95.896	
000046	泛海控股	3.25	8.57	13858077	117482048	-0.018	-0.021	0.005	141.719	119.301	136.030	123.142	117.704	79.661	81.305	125.490	128.000	
000048	康达尔	1.39	25.45	292248	7485006	-0.438	-0.322	-0.232	75.039	79.229	89.089	101.870	96.650	66.120	66.992	99.799	57.776	
000049	德赛电池	1.11	52.98	4224247	223462032	-0.232	-0.069	-0.327	134.174	114.516	110.807	109.439	90.409	104.414	134.403	90.224	103.526	
000050	深天马Ａ	-0.54	21.90	41204776	908950272	0.790	0.719	0.142	240.629	236.801	190.319	209.472	136.379	99.772	92.316	157.515	158.475	
000055	方大集团	0.71	7.14	6965205	49458732	-0.098	-0.095	-0.008	121.275	115.023	88.664	128.532	90.931	54.016	76.091	92.444	86.957	
