历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   PSY(12,6)   RSI(6,12,24)   MTM(12,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  PSY	  PSYMA	  RSI1	  RSI2	  RSI3	  MTM	  MTMMA	
000001	平安银行	-1.10	10.81	153733856	1695060992	0.495	0.364	0.263	75.000	72.222	79.315	82.781	79.451	1.630	1.562	
000002	万 科Ａ	0.84	25.35	63367704	1598967680	0.862	0.941	-0.158	58.333	48.611	61.852	61.798	61.828	0.780	-0.242	
000004	国农科技	0.70	21.51	2184396	46875764	-2.732	-2.764	0.064	33.333	30.556	15.795	13.897	18.714	-3.880	-3.293	
000005	世纪星源	0.82	4.92	4975911	24525274	-0.112	-0.080	-0.065	66.667	58.333	38.934	37.886	38.886	-0.250	-0.308	
000006	深振业Ａ	2.66	8.49	21704990	185075840	-0.057	-0.015	-0.083	50.000	36.111	54.842	50.046	50.207	-0.070	-0.375	
000007	全新好	0.55	14.59	3230154	47050696	-0.604	-0.328	-0.551	33.333	38.889	21.677	26.999	35.319	-2.810	-2.002	
000008	神州高铁	1.21	7.55	9845823	73629632	0.011	-0.005	0.033	58.333	52.778	70.320	62.041	52.793	0.190	0.065	
000009	中国宝安	3.88	8.29	74857576	625342528	0.032	0.058	-0.051	50.000	44.444	61.281	57.190	53.417	0.170	-0.098	
000010	美丽生态	0.63	4.78	6422120	30847716	-0.122	-0.089	-0.065	41.667	33.333	30.676	34.541	36.940	-0.310	-0.238	
000011	深物业A	4.81	19.38	15368515	300713280	-0.236	-0.063	-0.345	58.333	47.222	54.909	49.807	50.984	-0.490	-1.488	
000012	南 玻Ａ	-0.68	8.76	35421804	309317344	0.153	0.094	0.118	58.333	59.722	68.437	65.926	58.890	0.750	0.463	
000014	沙河股份	0.06	16.93	4202908	72149848	-0.158	-0.167	0.018	41.667	33.333	53.258	46.600	45.750	-0.040	-0.155	
000016	深康佳Ａ	0.78	5.17	31048846	163032272	0.122	0.155	-0.064	50.000	44.444	49.741	55.187	58.120	0.130	0.300	
000017	深中华A	2.17	8.00	2988079	23938788	-0.228	-0.136	-0.185	41.667	37.500	38.489	37.596	39.208	-0.790	-0.788	
000018	神州长城	-0.69	7.16	9646594	69499544	-0.196	-0.152	-0.087	41.667	40.278	30.646	34.870	39.101	-0.480	-0.420	
000019	深深宝Ａ	9.97	11.91	35320608	416151680	-0.193	-0.029	-0.327	58.333	48.611	55.614	50.791	49.612	-0.210	-1.082	
000020	深华发Ａ					-0.871	-0.695	-0.353	25.000	26.389	23.774	31.043	38.062	-2.660	-2.475	
000021	深科技	1.46	8.32	7926246	65828024	-0.066	-0.004	-0.126	41.667	33.333	44.957	44.386	46.158	-0.350	-0.365	
000022	深赤湾Ａ	-0.91	28.34	7446742	212941968	0.152	0.439	-0.574	50.000	38.889	42.114	46.837	51.904	-0.100	-1.315	
000023	深天地Ａ	2.81	26.34	1592655	42427764	0.148	0.351	-0.407	41.667	30.556	54.391	52.620	51.808	0.020	-1.375	
000025	特 力Ａ					1.083	1.961	-1.756	41.667	36.111	41.532	48.299	51.431	-4.620	-2.792	
000026	飞亚达Ａ	0.18	11.32	5305050	59939476	-0.274	-0.115	-0.318	50.000	48.611	21.294	28.935	36.034	-1.380	-0.983	
000027	深圳能源	1.21	6.68	12703758	84374896	-0.010	0.016	-0.053	75.000	66.667	49.298	48.607	49.238	-0.120	-0.125	
000028	国药一致	2.11	78.02	865120	67030484	-0.058	0.560	-1.236	33.333	27.778	46.848	47.418	50.802	-1.990	-2.668	
000029	深深房Ａ					-0.013	0.034	-0.094	41.667	29.167	56.060	51.942	52.311	-0.080	-0.423	
