历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
000001	平安银行	-1.10	10.81	153733856	1695060992	0.495	0.364	0.263	17.476	15.517	86.287	137962080.0	127473568.0	
000002	万 科Ａ	0.84	25.35	63367704	1598967680	0.862	0.941	-0.158	41.284	22.959	80.038	129105440.0	128076880.0	
000004	国农科技	0.70	21.51	2184396	46875764	-2.732	-2.764	0.064	77.879	93.141	-121.689	4081842.3	4205772.0	
000005	世纪星源	0.82	4.92	4975911	24525274	-0.112	-0.080	-0.065	70.588	75.610	-81.262	23948576.0	23900936.0	
000006	深振业Ａ	2.66	8.49	21704990	185075840	-0.057	-0.015	-0.083	39.000	42.991	4.695	56815472.0	56798364.0	
000007	全新好	0.55	14.59	3230154	47050696	-0.604	-0.328	-0.551	65.269	65.269	-99.839	5839228.5	5791374.0	
000008	神州高铁	1.21	7.55	9845823	73629632	0.011	-0.005	0.033	1.786	1.786	119.918	9051942.0	8849758.0	
000009	中国宝安	3.88	8.29	74857576	625342528	0.032	0.058	-0.051	32.787	30.769	43.233	67441560.0	66462072.0	
000010	美丽生态	0.63	4.78	6422120	30847716	-0.122	-0.089	-0.065	77.632	77.632	-92.776	7736939.0	7812623.5	
000011	深物业A	4.81	19.38	15368515	300713280	-0.236	-0.063	-0.345	32.617	59.307	11.353	22057864.0	21922500.0	
000012	南 玻Ａ	-0.68	8.76	35421804	309317344	0.153	0.094	0.118	12.500	9.821	149.675	45919048.0	45257052.0	
000014	沙河股份	0.06	16.93	4202908	72149848	-0.158	-0.167	0.018	50.862	72.330	105.373	10117357.0	10163772.0	
000016	深康佳Ａ	0.78	5.17	31048846	163032272	0.122	0.155	-0.064	53.750	40.952	-5.666	40382428.0	39704692.0	
000017	深中华A	2.17	8.00	2988079	23938788	-0.228	-0.136	-0.185	68.944	70.060	-85.447	6952202.0	6956986.5	
000018	神州长城	-0.69	7.16	9646594	69499544	-0.196	-0.152	-0.087	78.000	84.058	-92.308	4678920.5	4931899.0	
000019	深深宝Ａ	9.97	11.91	35320608	416151680	-0.193	-0.029	-0.327	40.075	50.920	-35.592	19778044.0	19276470.0	
000020	深华发Ａ					-0.871	-0.695	-0.353	77.230	84.985	-111.148	4313078.0	4367112.5	
000021	深科技	1.46	8.32	7926246	65828024	-0.066	-0.004	-0.126	57.778	57.778	-75.095	35760196.0	35700828.0	
000022	深赤湾Ａ	-0.91	28.34	7446742	212941968	0.152	0.439	-0.574	65.181	77.322	-38.347	7223592.0	7490456.0	
000023	深天地Ａ	2.81	26.34	1592655	42427764	0.148	0.351	-0.407	35.523	40.078	5.455	3322720.3	3361479.0	
000025	特 力Ａ					1.083	1.961	-1.756	73.597	40.017	-116.610	8521523.0	8495296.0	
000026	飞亚达Ａ	0.18	11.32	5305050	59939476	-0.274	-0.115	-0.318	80.000	80.000	-113.150	10679489.0	10573588.0	
000027	深圳能源	1.21	6.68	12703758	84374896	-0.010	0.016	-0.053	54.167	54.167	-62.071	47604912.0	47235356.0	
000028	国药一致	2.11	78.02	865120	67030484	-0.058	0.560	-1.236	66.029	66.029	-81.044	1139724.9	1187078.4	
000029	深深房Ａ					-0.013	0.034	-0.094	37.374	73.276	37.449	25839494.0	25273098.0	
000030	富奥股份	-0.23	8.81	5928178	52425964	0.055	0.089	-0.069	34.615	32.927	29.015	19333542.0	19338394.0	
