历史行情.指标排序沪深Ａ股 日期:2017-07-20,四 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000001	平安银行	-1.10	10.81	153733856	1695060992	0.495	0.364	0.263	1.162	0.688	9.792	11.252	8.332	0.154	6.136	11.900	
000002	万 科Ａ	0.84	25.35	63367704	1598967680	0.862	0.941	-0.158	2.903	3.256	24.720	26.514	22.926	1.218	2.517	5.189	
000004	国农科技	0.70	21.51	2184396	46875764	-2.732	-2.764	0.064	-8.461	-8.523	24.510	27.848	21.173	-4.002	-9.260	-13.507	
000005	世纪星源	0.82	4.92	4975911	24525274	-0.112	-0.080	-0.065	-0.157	-0.098	5.140	5.477	4.803	-0.203	-2.879	-5.088	
000006	深振业Ａ	2.66	8.49	21704990	185075840	-0.057	-0.015	-0.083	0.007	0.177	8.552	8.937	8.166	1.758	0.444	-1.092	
000007	全新好	0.55	14.59	3230154	47050696	-0.604	-0.328	-0.551	-1.172	-0.471	16.385	18.483	14.287	-3.014	-8.907	-11.437	
000008	神州高铁	1.21	7.55	9845823	73629632	0.011	-0.005	0.033	0.095	0.048	7.352	7.549	7.154	2.582	2.165	2.698	
000009	中国宝安	3.88	8.29	74857576	625342528	0.032	0.058	-0.051	0.301	0.345	8.106	8.548	7.663	4.080	1.843	2.854	
000010	美丽生态	0.63	4.78	6422120	30847716	-0.122	-0.089	-0.065	-0.152	-0.147	5.042	5.381	4.703	-1.443	-4.591	-5.728	
000011	深物业A	4.81	19.38	15368515	300713280	-0.236	-0.063	-0.345	-0.201	0.539	19.667	21.290	18.045	3.085	0.889	-2.489	
000012	南 玻Ａ	-0.68	8.76	35421804	309317344	0.153	0.094	0.118	0.433	0.228	8.224	8.759	7.689	3.180	4.722	7.129	
000014	沙河股份	0.06	16.93	4202908	72149848	-0.158	-0.167	0.018	-0.416	-0.333	16.943	17.263	16.623	0.684	0.257	-0.963	
000016	深康佳Ａ	0.78	5.17	31048846	163032272	0.122	0.155	-0.064	0.485	0.501	5.099	5.670	4.528	0.065	-2.222	2.749	
000017	深中华A	2.17	8.00	2988079	23938788	-0.228	-0.136	-0.185	-0.302	-0.091	8.538	9.360	7.715	-0.021	-4.478	-6.737	
000018	神州长城	-0.69	7.16	9646594	69499544	-0.196	-0.152	-0.087	-0.281	-0.252	7.565	8.107	7.023	-0.945	-4.011	-6.334	
000019	深深宝Ａ	9.97	11.91	35320608	416151680	-0.193	-0.029	-0.327	0.172	0.556	12.052	13.434	10.670	6.024	0.358	-2.146	
000020	深华发Ａ					-0.871	-0.695	-0.353	-2.306	-1.532	21.031	23.389	18.672	-2.307	-5.146	-9.136	
000021	深科技	1.46	8.32	7926246	65828024	-0.066	-0.004	-0.126	0.042	0.242	8.543	8.997	8.090	0.605	-1.925	-2.813	
000022	深赤湾Ａ	-0.91	28.34	7446742	212941968	0.152	0.439	-0.574	1.316	2.072	29.476	32.142	26.809	-1.580	-1.477	-4.819	
000023	深天地Ａ	2.81	26.34	1592655	42427764	0.148	0.351	-0.407	1.267	1.773	26.604	28.236	24.973	2.053	0.203	-0.701	
000025	特 力Ａ					1.083	1.961	-1.756	5.877	7.640	49.687	54.074	45.300	-2.523	-4.257	-4.635	
000026	飞亚达Ａ	0.18	11.32	5305050	59939476	-0.274	-0.115	-0.318	-0.244	0.053	12.313	13.451	11.175	-2.330	-6.658	-8.191	
000027	深圳能源	1.21	6.68	12703758	84374896	-0.010	0.016	-0.053	0.084	0.145	6.745	6.951	6.538	0.502	-0.780	-0.669	
