历史行情.指标排序自选股 日期:2017-07-21,五 指标:MACD(12,26,9)   KDJ(9,3,3)   DMI(7,6)   EXPMA(12,50)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  K	  D	  J	  PDI	  MDI	  ADX	  ADXR	  EXP1	  EXP2	
000001	平安银行	0.74	10.89	150102000	1625416448	0.504	0.392	0.224	84.229	84.633	83.422	28.136	5.424	87.897	70.829	10.410	9.525	
000002	万 科Ａ	-2.25	24.78	47766256	1195588608	0.799	0.913	-0.227	39.883	45.207	29.235	31.265	16.910	39.081	48.198	24.773	22.914	
000004	国农科技	-0.05	21.50	1311509	28193912	-2.684	-2.748	0.128	21.636	20.013	24.881	1.832	58.779	98.179	99.090	23.135	29.506	
000005	世纪星源	-0.20	4.91	3649800	17943632	-0.113	-0.086	-0.053	23.371	20.534	29.044	16.471	45.882	39.253	42.301	5.007	5.292	
000006	深振业Ａ	-0.24	8.47	11992434	101327696	-0.050	-0.022	-0.055	56.776	43.050	84.226	26.203	33.155	53.022	50.799	8.440	8.476	
000007	全新好	10.01	16.05	13601903	213863504	-0.525	-0.368	-0.316	47.584	33.958	74.835	14.977	39.977	85.204	56.758	15.693	16.484	
000008	神州高铁	1.85	7.69	12546462	96077656	0.035	0.003	0.064	79.991	69.884	100.205	37.410	23.741	39.421	38.380	7.428	7.491	
000009	中国宝安	0.97	8.37	54111064	453479552	0.055	0.057	-0.004	55.919	42.370	83.018	34.043	27.234	37.631	48.268	8.102	8.103	
000010	美丽生态	0.42	4.80	3985000	19115500	-0.124	-0.096	-0.056	24.704	24.723	24.667	14.151	43.396	58.048	44.882	4.918	5.279	
000011	深物业A	0.77	19.53	12156526	236628864	-0.189	-0.088	-0.202	56.887	43.153	84.354	30.390	33.786	40.182	56.543	19.225	19.142	
000012	南 玻Ａ	-1.37	8.64	24297180	210139136	0.161	0.107	0.107	70.611	66.075	79.682	37.019	19.231	50.008	61.709	8.436	8.303	
000014	沙河股份	-0.06	16.92	2149897	36321704	-0.145	-0.162	0.035	46.450	39.437	60.477	35.000	17.500	28.263	24.214	16.906	17.267	
000016	深康佳Ａ	-0.58	5.14	15035573	77584816	0.111	0.146	-0.070	44.603	49.736	34.338	23.837	31.395	35.563	59.731	5.163	4.897	
000017	深中华A	-0.63	7.95	1450975	11551402	-0.235	-0.156	-0.158	27.200	23.605	34.392	11.872	41.553	70.107	53.248	8.198	8.773	
000018	神州长城	-0.14	7.15	8832231	63383456	-0.200	-0.161	-0.077	23.537	24.685	21.241	10.563	35.211	66.729	47.622	7.348	7.873	
000019	深深宝Ａ	-2.94	11.56	23146632	269255232	-0.187	-0.061	-0.252	37.468	30.664	51.076	22.078	44.156	57.395	48.315	11.650	11.974	
000020	深华发Ａ					-0.871	-0.695	-0.353	27.375	24.550	33.024	0.362	41.049	67.386	62.669	20.186	21.643	
000021	深科技	0.00	8.32	5013847	41870988	-0.067	-0.016	-0.102	35.154	30.516	44.429	22.857	39.286	66.460	57.411	8.383	8.509	
000022	深赤湾Ａ	-2.26	27.70	6639996	184626608	0.049	0.361	-0.625	31.966	38.401	19.096	9.239	32.283	25.400	43.029	28.677	27.595	
000023	深天地Ａ	-2.81	25.60	1071287	27623546	0.095	0.300	-0.409	46.471	41.851	55.712	20.984	33.443	31.737	36.055	26.038	25.876	
000025	特 力Ａ					1.083	1.961	-1.756	23.820	27.347	16.765	19.674	28.259	24.123	28.812	48.390	46.012	
000026	飞亚达Ａ	0.00	11.32	3838813	43531904	-0.300	-0.152	-0.296	19.593	23.068	12.642	7.722	57.143	77.643	56.406	11.811	12.422	
000027	深圳能源	-0.30	6.66	6972726	46421548	-0.012	0.011	-0.045	40.053	36.817	46.526	25.000	38.095	42.623	44.973	6.685	6.703	
000028	国药一致	0.03	78.04	651027	50695676	-0.087	0.431	-1.036	30.651	26.748	38.457	9.878	25.483	82.338	54.268	78.398	77.562	
000029	深深房Ａ					-0.013	0.034	-0.094	44.125	32.133	68.110	23.462	16.538	50.281	41.386	11.083	10.987	
000030	富奥股份	2.50	9.03	12511354	111816864	0.073	0.086	-0.026	69.398	54.830	98.535	24.405	20.833	54.890	46.355	8.794	8.597	
000031	中粮地产	8.70	8.00	54508000	428272768	0.004	-0.010	0.028	57.121	46.543	78.279	43.602	26.066	33.895	32.840	7.511	7.581	
000032	深桑达Ａ					0.135	0.099	0.073	53.184	59.448	40.656	8.532	18.430	45.377	64.884	15.525	15.308	
000034	神州数码	-5.78	17.76	11181285	202350080	-0.685	-0.024	-1.322	14.621	25.925	-7.986	7.716	56.853	49.934	33.598	21.503	22.676	
000035	中国天楹	0.00	6.52	3349900	21807482	-0.095	-0.052	-0.087	46.162	44.751	48.986	2.721	44.218	93.151	78.305	6.691	6.901	
000036	华联控股	10.04	11.29	122584600	1353402112	0.416	0.214	0.404	87.996	78.529	106.929	65.860	0.000	73.379	55.430	9.599	8.880	
000037	深南电A	-1.29	9.97	1691600	16907574	-0.034	-0.002	-0.064	37.997	36.498	40.997	30.800	6.000	24.664	35.608	10.055	10.167	
000038	深大通					-1.003	-0.936	-0.135	22.590	28.268	11.234	17.713	36.402	40.356	50.618	21.313	23.623	
000039	中集集团	1.35	18.07	22442456	405308832	0.201	0.212	-0.022	62.649	51.089	85.768	36.170	17.967	25.511	41.032	17.625	17.096	
000040	东旭蓝天	0.16	12.47	2604675	32353326	-0.073	0.028	-0.200	36.673	41.854	26.311	4.644	42.105	65.928	56.820	12.726	12.813	
000042	中洲控股	-1.23	16.92	627232	10630448	-0.125	-0.195	0.139	70.325	58.387	94.199	28.309	1.838	58.190	65.414	16.785	17.219	
000043	中航地产	-0.93	10.64	3988045	42619736	0.239	0.275	-0.073	47.666	52.779	37.440	17.089	31.329	36.996	53.291	10.613	10.263	
000045	深纺织Ａ	-1.19	10.77	4334722	46811112	-0.322	-0.217	-0.210	27.349	21.880	38.288	22.373	37.288	60.090	59.444	11.040	11.643	
000046	泛海控股	-1.63	8.43	8421510	71304048	-0.011	-0.019	0.015	47.159	38.958	63.562	45.098	9.804	30.169	60.487	8.370	8.443	
000048	康达尔	-1.85	24.98	267426	6692005	-0.468	-0.351	-0.234	31.077	31.548	30.134	23.210	34.483	39.761	35.616	25.648	26.943	
000049	德赛电池	-0.28	52.83	3269972	172924144	-0.194	-0.094	-0.200	44.261	35.593	61.595	13.455	21.013	59.458	50.946	52.607	52.699	
000050	深天马Ａ	4.38	22.86	56423368	1288514560	0.896	0.755	0.282	77.204	67.061	97.489	40.485	15.394	27.401	38.374	21.122	19.413	
000055	方大集团	-1.68	7.02	9187201	64845168	-0.101	-0.096	-0.011	27.815	28.537	26.370	18.487	22.689	35.342	41.930	7.129	7.486	
000056	皇庭国际	0.39	12.96	1847950	23822340	0.263	0.186	0.154	79.771	72.392	94.527	31.649	5.053	61.539	53.892	12.485	12.088	
000058	深 赛 格	-0.13	7.45	2897373	21550232	-0.178	-0.096	-0.165	19.050	18.001	21.148	20.690	45.402	41.990	42.840	7.683	8.106	
000059	华锦股份	3.37	12.26	100189336	1221552000	0.431	0.300	0.262	73.015	73.245	72.555	44.559	17.659	36.404	61.983	11.263	10.648	
000060	中金岭南	1.34	12.08	74963624	904937472	0.317	0.290	0.054	76.808	66.569	97.286	35.669	21.019	24.433	34.390	11.569	10.973	
000061	农 产 品					-0.069	-0.095	0.053	51.661	44.900	65.183	23.134	32.090	44.538	53.276	8.932	9.352	
000062	深圳华强					-0.895	-0.682	-0.427	22.869	23.632	21.342	16.060	42.053	81.809	49.270	25.753	27.115	
000063	中兴通讯	0.34	23.66	69648936	1668504064	0.476	0.595	-0.238	64.171	55.665	81.182	28.608	18.987	21.120	21.763	23.113	21.527	
000065	北方国际	-1.22	25.00	6637781	166262208	-0.295	-0.406	0.221	62.082	44.970	96.307	37.532	24.173	57.318	53.747	24.111	25.300	
000066	中国长城	-0.33	9.18	16081584	148212592	0.100	0.128	-0.056	44.015	43.154	45.738	12.299	31.551	57.696	56.985	9.194	9.123	
000068	华控赛格	-2.02	6.31	4680544	29640140	-0.176	-0.145	-0.062	35.168	31.802	41.901	21.717	30.303	62.060	64.632	6.561	6.982	
000069	华侨城Ａ	0.32	9.46	38831692	370004448	0.041	0.120	-0.158	42.616	36.106	55.636	16.590	29.032	49.831	57.668	9.488	9.147	
000070	特发信息	-2.95	10.54	4778460	50887664	-0.303	-0.235	-0.135	44.486	31.252	70.955	30.612	31.973	70.182	85.091	10.709	11.257	
000078	海王生物	-0.99	6.03	13092313	79098736	0.018	0.037	-0.038	37.741	45.517	22.187	7.692	20.513	51.121	52.002	6.107	6.066	
000088	盐 田 港	-2.23	9.21	15757260	145730448	-0.275	-0.165	-0.220	22.801	25.037	18.329	11.250	39.167	72.672	78.740	9.684	9.906	
000089	深圳机场	1.10	9.18	9450272	86392568	-0.053	-0.002	-0.102	32.497	28.073	41.343	14.815	23.457	55.166	44.829	9.211	9.202	
000090	天健集团	-1.22	11.38	16952596	194135520	0.170	0.243	-0.147	34.752	41.700	20.857	21.037	39.024	29.452	51.796	11.490	10.970	
000096	广聚能源	0.07	14.26	881000	12498351	-0.222	-0.209	-0.027	60.683	44.671	92.706	17.270	33.148	62.953	55.129	14.255	14.768	
000099	中信海直					-0.284	-0.228	-0.112	26.352	19.940	39.177	10.714	44.388	82.785	67.943	11.458	11.962	
000100	TCL 集团					-0.010	0.001	-0.023	21.634	33.760	-2.617	30.909	32.727	11.893	19.248	3.487	3.488	
000150	宜华健康	5.78	25.61	4029651	101811856	-0.090	-0.190	0.201	71.445	60.022	94.290	33.211	34.862	64.416	51.000	24.562	25.102	
000151	中成股份	3.35	17.89	7074586	127311792	-0.500	-0.365	-0.270	35.090	29.862	45.546	30.847	32.661	68.653	49.599	17.998	18.847	
000153	丰原药业	-0.21	9.63	4435728	42860784	-0.865	-0.561	-0.607	8.728	9.393	7.396	2.432	59.878	97.660	71.160	10.648	11.939	
000156	华数传媒	0.92	14.30	1935659	27538894	-0.199	-0.141	-0.114	28.651	24.091	37.770	18.994	35.196	72.498	52.554	14.387	14.905	
000157	中联重科	1.05	4.79	73821376	355572224	0.075	0.049	0.051	80.133	77.985	84.429	47.619	0.000	68.518	49.971	4.638	4.530	
000158	常山股份	-2.57	10.62	13022017	140627888	-0.269	-0.107	-0.325	22.998	22.079	24.837	8.411	43.925	62.389	40.977	11.213	11.394	
000159	国际实业	1.10	6.43	8074524	51794728	-0.120	-0.064	-0.112	30.778	33.587	25.159	21.739	38.164	48.060	52.173	6.590	6.978	
000166	申万宏源	-0.51	5.84	37254476	218518320	0.058	0.042	0.032	68.192	64.531	75.513	36.000	21.000	26.289	43.538	5.757	5.695	
000301	东方市场					-0.002	0.008	-0.020	30.695	37.373	17.340	18.367	30.612	25.605	25.588	5.107	5.093	
000333	美的集团	-0.83	41.90	29503966	1242799360	0.465	0.735	-0.539	44.907	41.273	52.175	7.240	11.086	22.391	26.940	41.859	39.813	
000338	潍柴动力	-0.72	6.91	120764696	839855808	0.261	0.256	0.009	78.303	74.522	85.864	30.000	10.500	25.232	31.820	6.740	6.178	
000400	许继电气	0.06	17.08	4201495	71667416	0.025	0.161	-0.272	26.997	28.898	23.195	7.325	36.624	53.701	39.974	17.335	17.227	
000401	冀东水泥	0.19	15.61	41224360	644959104	-0.252	-0.218	-0.067	31.328	34.895	24.195	25.651	38.104	25.372	41.695	15.777	16.332	
000402	金 融 街	-1.78	12.15	26836596	326613824	0.191	0.137	0.108	69.710	69.616	69.896	39.350	12.996	70.851	47.271	11.996	11.614	
000403	ST生化					0.407	0.023	0.769	85.647	81.248	94.446	40.890	9.534	56.391	70.267	29.341	29.279	
000404	华意压缩	-0.14	7.29	8710752	63543820	-0.162	-0.106	-0.112	30.971	31.465	29.982	12.571	43.429	75.356	56.358	7.479	7.866	
000407	胜利股份	-2.25	7.83	6550657	51616436	-0.454	-0.320	-0.268	11.808	11.879	11.667	1.376	67.431	98.558	91.505	8.509	9.308	
000408	藏格控股	-2.94	13.88	3430652	47975596	-0.022	-0.060	0.077	57.832	44.691	84.115	32.886	18.456	47.786	29.158	13.735	13.980	
