历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000001	平安银行	0.74	10.89	150102000	1625416448	0.504	0.392	0.224	1.058	0.968	0.795	0.524	1111.044	1062.405	
000002	万 科Ａ	-2.25	24.78	47766256	1195588608	0.799	0.913	-0.227	-0.084	0.250	0.561	0.697	189.464	155.662	
000004	国农科技	-0.05	21.50	1311509	28193912	-2.684	-2.748	0.128	-2.326	-1.545	-1.423	-1.445	-7.685	-5.366	
000005	世纪星源	-0.20	4.91	3649800	17943632	-0.113	-0.086	-0.053	-0.739	-0.578	-0.277	-0.148	-19.769	-5.711	
000006	深振业Ａ	-0.24	8.47	11992434	101327696	-0.050	-0.022	-0.055	-0.623	-0.585	-0.120	-0.021	10.800	20.269	
000007	全新好	10.01	16.05	13601903	213863504	-0.525	-0.368	-0.316	-0.879	-0.869	-0.442	-0.175	20.199	3.973	
000008	神州高铁	1.85	7.69	12546462	96077656	0.035	0.003	0.064	0.010	-0.160	0.059	0.048	17.883	9.377	
000009	中国宝安	0.97	8.37	54111064	453479552	0.055	0.057	-0.004	-0.169	-0.246	0.126	0.243	177.465	126.271	
000010	美丽生态	0.42	4.80	3985000	19115500	-0.124	-0.096	-0.056	-0.820	-0.570	-0.260	-0.130	-8.534	-5.728	
000011	深物业A	0.77	19.53	12156526	236628864	-0.189	-0.088	-0.202	-0.806	-0.940	-0.237	-0.079	-4.340	2.923	
000012	南 玻Ａ	-1.37	8.64	24297180	210139136	0.161	0.107	0.107	0.175	0.271	0.308	0.223	67.490	61.328	
000014	沙河股份	-0.06	16.92	2149897	36321704	-0.145	-0.162	0.035	0.174	-0.062	-0.164	-0.170	-8.484	-4.740	
000016	深康佳Ａ	-0.58	5.14	15035573	77584816	0.111	0.146	-0.070	-0.370	0.288	0.457	0.597	80.790	80.396	
000017	深中华A	-0.63	7.95	1450975	11551402	-0.235	-0.156	-0.158	-1.096	-0.815	-0.320	-0.089	-1.500	-0.686	
000018	神州长城	-0.14	7.15	8832231	63383456	-0.200	-0.161	-0.077	-0.779	-0.692	-0.326	-0.199	-30.624	-24.757	
000019	深深宝Ａ	-2.94	11.56	23146632	269255232	-0.187	-0.061	-0.252	-1.107	-0.993	-0.209	0.094	33.030	34.558	
000020	深华发Ａ					-0.871	-0.695	-0.353	-1.089	-0.687	-0.600	-0.476	-3.175	-4.128	
