历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   VR(24,6)   CR(26,10,20,40,62)   BRAR(26)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  VR	  MAVR	  CR	  MA1	  MA2	  MA3	  MA4	  BR	  AR	
000001	平安银行	0.74	10.89	150102000	1625416448	0.504	0.392	0.224	334.928	368.784	314.596	230.457	168.419	107.812	79.135	212.376	260.920	
000002	万 科Ａ	-2.25	24.78	47766256	1195588608	0.799	0.913	-0.227	127.670	130.192	145.888	185.673	205.349	105.269	99.144	154.394	162.731	
000004	国农科技	-0.05	21.50	1311509	28193912	-2.684	-2.748	0.128	53.111	38.365	22.701	21.606	34.974	83.745	87.400	17.489	61.864	
000005	世纪星源	-0.20	4.91	3649800	17943632	-0.113	-0.086	-0.053	75.598	97.630	74.238	112.067	110.443	68.386	68.902	77.640	90.411	
000006	深振业Ａ	-0.24	8.47	11992434	101327696	-0.050	-0.022	-0.055	96.781	99.052	79.070	117.845	136.091	106.692	94.659	93.174	107.407	
000007	全新好	10.01	16.05	13601903	213863504	-0.525	-0.368	-0.316	180.148	129.906	90.304	96.020	83.593	106.301	141.217	96.167	163.158	
000008	神州高铁	1.85	7.69	12546462	96077656	0.035	0.003	0.064	143.120	120.213	129.737	143.238	116.013	62.339	74.430	96.316	89.231	
000009	中国宝安	0.97	8.37	54111064	453479552	0.055	0.057	-0.004	151.051	131.896	139.322	170.399	124.275	59.847	60.259	128.333	163.813	
000010	美丽生态	0.42	4.80	3985000	19115500	-0.124	-0.096	-0.056	89.319	72.423	64.806	121.698	96.946	55.432	66.768	60.714	70.414	
000011	深物业A	0.77	19.53	12156526	236628864	-0.189	-0.088	-0.202	121.600	111.373	89.982	120.406	152.066	139.202	116.405	104.791	129.162	
000012	南 玻Ａ	-1.37	8.64	24297180	210139136	0.161	0.107	0.107	130.517	173.020	169.900	176.474	115.122	57.749	61.012	133.333	131.050	
000014	沙河股份	-0.06	16.92	2149897	36321704	-0.145	-0.162	0.035	47.102	58.672	81.081	95.210	115.808	99.329	96.739	94.790	111.329	
000016	深康佳Ａ	-0.58	5.14	15035573	77584816	0.111	0.146	-0.070	135.370	134.119	145.792	251.660	180.301	115.033	102.140	120.183	132.195	
000017	深中华A	-0.63	7.95	1450975	11551402	-0.235	-0.156	-0.158	99.524	100.761	66.427	142.414	111.692	68.436	71.771	85.135	111.575	
000018	神州长城	-0.14	7.15	8832231	63383456	-0.200	-0.161	-0.077	79.306	91.616	66.270	107.947	102.961	72.707	89.786	63.863	77.211	
000019	深深宝Ａ	-2.94	11.56	23146632	269255232	-0.187	-0.061	-0.252	127.390	129.586	93.799	148.123	130.913	79.612	76.868	102.000	167.091	
000020	深华发Ａ					-0.871	-0.695	-0.353	67.336	65.710	59.300	69.505	101.221	151.220	121.819	61.981	72.590	
000021	深科技	0.00	8.32	5013847	41870988	-0.067	-0.016	-0.102	104.327	116.581	98.200	127.656	130.408	86.375	75.176	83.871	77.328	
000022	深赤湾Ａ	-2.26	27.70	6639996	184626608	0.049	0.361	-0.625	64.867	78.190	105.387	141.070	157.245	124.349	138.521	115.983	133.589	
000023	深天地Ａ	-2.81	25.60	1071287	27623546	0.095	0.300	-0.409	69.585	74.270	124.840	159.013	126.262	77.835	73.201	104.328	126.271	
000025	特 力Ａ					1.083	1.961	-1.756	120.843	133.931	154.521	177.178	133.604	68.155	67.387	148.309	204.447	
000026	飞亚达Ａ	0.00	11.32	3838813	43531904	-0.300	-0.152	-0.296	126.260	132.366	78.870	131.312	101.379	70.638	84.310	63.025	69.890	
