历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   PSY(12,6)   RSI(6,12,24)   MTM(12,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  PSY	  PSYMA	  RSI1	  RSI2	  RSI3	  MTM	  MTMMA	
000001	平安银行	0.74	10.89	150102000	1625416448	0.504	0.392	0.224	75.000	72.222	81.331	83.725	80.163	1.680	1.585	
000002	万 科Ａ	-2.25	24.78	47766256	1195588608	0.799	0.913	-0.227	58.333	51.389	49.211	55.825	58.560	0.920	0.082	
000004	国农科技	-0.05	21.50	1311509	28193912	-2.684	-2.748	0.128	25.000	29.167	15.732	13.872	18.700	-3.900	-3.715	
000005	世纪星源	-0.20	4.91	3649800	17943632	-0.113	-0.086	-0.053	58.333	58.333	38.027	37.425	38.651	-0.300	-0.337	
000006	深振业Ａ	-0.24	8.47	11992434	101327696	-0.050	-0.022	-0.055	41.667	37.500	53.265	49.312	49.857	-0.190	-0.380	
000007	全新好	10.01	16.05	13601903	213863504	-0.525	-0.368	-0.316	33.333	36.111	57.890	48.987	47.200	-1.600	-2.195	
000008	神州高铁	1.85	7.69	12546462	96077656	0.035	0.003	0.064	66.667	55.556	77.865	67.913	56.686	0.350	0.118	
000009	中国宝安	0.97	8.37	54111064	453479552	0.055	0.057	-0.004	50.000	45.833	64.019	58.983	54.568	0.050	-0.108	
000010	美丽生态	0.42	4.80	3985000	19115500	-0.124	-0.096	-0.056	41.667	34.722	34.145	36.084	37.611	-0.350	-0.292	
000011	深物业A	0.77	19.53	12156526	236628864	-0.189	-0.088	-0.202	58.333	50.000	57.402	51.223	51.669	-0.640	-1.375	
000012	南 玻Ａ	-1.37	8.64	24297180	210139136	0.161	0.107	0.107	50.000	58.333	60.613	61.217	56.422	0.540	0.490	
000014	沙河股份	-0.06	16.92	2149897	36321704	-0.145	-0.162	0.035	33.333	33.333	52.361	46.287	45.630	-0.280	-0.175	
000016	深康佳Ａ	-0.58	5.14	15035573	77584816	0.111	0.146	-0.070	41.667	43.056	46.762	53.499	57.083	-0.220	0.153	
