历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
000001	平安银行	0.74	10.89	150102000	1625416448	0.504	0.392	0.224	13.592	12.069	73.160	139463104.0	128042792.0	
000002	万 科Ａ	-2.25	24.78	47766256	1195588608	0.799	0.913	-0.227	58.716	32.653	40.576	128627776.0	128150552.0	
000004	国农科技	-0.05	21.50	1311509	28193912	-2.684	-2.748	0.128	78.022	92.806	-94.586	4068727.0	4194343.5	
000005	世纪星源	-0.20	4.91	3649800	17943632	-0.113	-0.086	-0.053	72.059	76.829	-65.201	23912078.0	23902190.0	
000006	深振业Ａ	-0.24	8.47	11992434	101327696	-0.050	-0.022	-0.055	28.049	44.860	-11.830	56695548.0	56792192.0	
000007	全新好	10.01	16.05	13601903	213863504	-0.525	-0.368	-0.316	36.128	36.128	-35.803	5975247.5	5796990.0	
000008	神州高铁	1.85	7.69	12546462	96077656	0.035	0.003	0.064	10.390	10.390	200.725	9177406.0	8862196.0	
000009	中国宝安	0.97	8.37	54111064	453479552	0.055	0.057	-0.004	26.229	26.229	70.723	67982672.0	66554712.0	
000010	美丽生态	0.42	4.80	3985000	19115500	-0.124	-0.096	-0.056	75.000	75.000	-78.095	7776789.0	7803855.0	
000011	深物业A	0.77	19.53	12156526	236628864	-0.189	-0.088	-0.202	26.449	56.061	19.708	22179430.0	21917726.0	
000012	南 玻Ａ	-1.37	8.64	24297180	210139136	0.161	0.107	0.107	26.136	20.536	96.536	45676076.0	45282384.0	
000014	沙河股份	-0.06	16.92	2149897	36321704	-0.145	-0.162	0.035	51.724	72.816	-10.793	10095858.0	10158585.0	
000016	深康佳Ａ	-0.58	5.14	15035573	77584816	0.111	0.146	-0.070	57.500	43.810	-47.838	40232072.0	39741196.0	
000017	深中华A	-0.63	7.95	1450975	11551402	-0.235	-0.156	-0.158	72.050	73.054	-72.429	6937692.0	6956153.5	
000018	神州长城	-0.14	7.15	8832231	63383456	-0.200	-0.161	-0.077	79.000	84.783	-84.920	4590598.0	4930007.5	
000019	深深宝Ａ	-2.94	11.56	23146632	269255232	-0.187	-0.061	-0.252	53.184	61.656	-23.245	19546578.0	19328362.0	
000020	深华发Ａ					-0.871	-0.695	-0.353	77.230	84.985	-111.148	4313078.0	4367112.5	
000021	深科技	0.00	8.32	5013847	41870988	-0.067	-0.016	-0.102	57.778	57.778	-45.313	35760196.0	35709088.0	
000022	深赤湾Ａ	-2.26	27.70	6639996	184626608	0.049	0.361	-0.625	83.008	86.777	-106.904	7157192.0	7468339.0	
000023	深天地Ａ	-2.81	25.60	1071287	27623546	0.095	0.300	-0.409	53.528	54.475	-48.185	3312007.3	3357073.0	
000025	特 力Ａ					1.083	1.961	-1.756	73.597	40.017	-116.610	8521523.0	8495296.0	
000026	飞亚达Ａ	0.00	11.32	3838813	43531904	-0.300	-0.152	-0.296	80.000	80.000	-87.222	10679489.0	10582015.0	
000027	深圳能源	-0.30	6.66	6972726	46421548	-0.012	0.011	-0.045	54.546	58.333	-47.899	47535188.0	47247972.0	
000028	国药一致	0.03	78.04	651027	50695676	-0.087	0.431	-1.036	65.804	65.804	-54.456	1146235.1	1185901.0	
000029	深深房Ａ					-0.013	0.034	-0.094	37.374	73.276	37.449	25839494.0	25273098.0	
000030	富奥股份	2.50	9.03	12511354	111816864	0.073	0.086	-0.026	6.410	6.410	82.154	19458656.0	19344116.0	
000031	中粮地产	8.70	8.00	54508000	428272768	0.004	-0.010	0.028	9.174	9.174	142.352	69703568.0	69015664.0	
000032	深桑达Ａ					0.135	0.099	0.073	34.266	34.510	41.441	6833944.0	6794280.5	
000034	神州数码	-5.78	17.76	11181285	202350080	-0.685	-0.024	-1.322	99.258	99.339	-185.031	10901813.0	11113411.0	
000035	中国天楹	0.00	6.52	3349900	21807482	-0.095	-0.052	-0.087	55.319	58.000	-94.583	10929952.0	11162940.0	
000036	华联控股	10.04	11.29	122584600	1353402112	0.416	0.214	0.404	0.000	0.000	255.731	42623792.0	39474904.0	
000037	深南电A	-1.29	9.97	1691600	16907574	-0.034	-0.002	-0.064	64.634	77.344	-37.590	10859827.0	10893708.0	
000038	深大通					-1.003	-0.936	-0.135	78.342	88.575	-236.297	2348405.0	2384673.5	
000039	中集集团	1.35	18.07	22442456	405308832	0.201	0.212	-0.022	15.672	16.062	134.343	27534972.0	26707428.0	
000040	东旭蓝天	0.16	12.47	2604675	32353326	-0.073	0.028	-0.200	64.706	64.706	-82.765	13984450.0	13950004.0	
