历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000001	平安银行	0.74	10.89	150102000	1625416448	0.504	0.392	0.224	1.273	0.780	9.882	11.381	8.383	0.662	5.472	11.802	
000002	万 科Ａ	-2.25	24.78	47766256	1195588608	0.799	0.913	-0.227	2.843	3.161	24.865	26.062	23.668	-0.608	-0.097	2.145	
000004	国农科技	-0.05	21.50	1311509	28193912	-2.684	-2.748	0.128	-8.482	-8.475	24.314	27.880	20.749	-1.774	-8.041	-12.744	
000005	世纪星源	-0.20	4.91	3649800	17943632	-0.113	-0.086	-0.053	-0.178	-0.107	5.122	5.468	4.776	0.409	-2.595	-4.868	
000006	深振业Ａ	-0.24	8.47	11992434	101327696	-0.050	-0.022	-0.055	-0.016	0.143	8.545	8.932	8.159	1.701	0.395	-1.143	
000007	全新好	10.01	16.05	13601903	213863504	-0.525	-0.368	-0.316	-1.223	-0.573	16.349	18.444	14.254	7.119	1.049	-2.424	
000008	神州高铁	1.85	7.69	12546462	96077656	0.035	0.003	0.064	0.113	0.064	7.377	7.611	7.142	3.709	3.650	4.436	
000009	中国宝安	0.97	8.37	54111064	453479552	0.055	0.057	-0.004	0.277	0.342	8.132	8.572	7.691	4.625	2.773	3.557	
000010	美丽生态	0.42	4.80	3985000	19115500	-0.124	-0.096	-0.056	-0.184	-0.143	5.029	5.385	4.673	0.000	-3.631	-4.990	
000011	深物业A	0.77	19.53	12156526	236628864	-0.189	-0.088	-0.202	-0.213	0.388	19.621	21.200	18.042	3.984	1.953	-1.434	
000012	南 玻Ａ	-1.37	8.64	24297180	210139136	0.161	0.107	0.107	0.471	0.270	8.264	8.798	7.730	1.349	2.735	5.334	
000014	沙河股份	-0.06	16.92	2149897	36321704	-0.145	-0.162	0.035	-0.425	-0.351	16.931	17.232	16.629	0.555	0.336	-0.699	
000016	深康佳Ａ	-0.58	5.14	15035573	77584816	0.111	0.146	-0.070	0.452	0.511	5.124	5.652	4.596	0.260	-2.451	1.799	
000017	深中华A	-0.63	7.95	1450975	11551402	-0.235	-0.156	-0.158	-0.368	-0.127	8.500	9.359	7.641	0.485	-4.303	-6.922	
000018	神州长城	-0.14	7.15	8832231	63383456	-0.200	-0.161	-0.077	-0.336	-0.257	7.525	8.066	6.984	-0.418	-3.596	-6.050	
000019	深深宝Ａ	-2.94	11.56	23146632	269255232	-0.187	-0.061	-0.252	0.087	0.491	12.015	13.409	10.621	4.050	-2.020	-4.735	
000020	深华发Ａ					-0.871	-0.695	-0.353	-2.306	-1.532	21.031	23.389	18.672	-2.307	-5.146	-9.136	
000021	深科技	0.00	8.32	5013847	41870988	-0.067	-0.016	-0.102	-0.008	0.205	8.531	8.995	8.067	1.012	-1.441	-2.643	
000022	深赤湾Ａ	-2.26	27.70	6639996	184626608	0.049	0.361	-0.625	1.171	1.860	29.281	31.865	26.697	-2.722	-3.341	-6.741	
000023	深天地Ａ	-2.81	25.60	1071287	27623546	0.095	0.300	-0.409	1.159	1.658	26.597	28.246	24.948	-0.331	-2.240	-3.610	
000025	特 力Ａ					1.083	1.961	-1.756	5.877	7.640	49.687	54.074	45.300	-2.523	-4.257	-4.635	
000026	飞亚达Ａ	0.00	11.32	3838813	43531904	-0.300	-0.152	-0.296	-0.352	0.004	12.254	13.471	11.037	-0.716	-5.804	-7.814	
000027	深圳能源	-0.30	6.66	6972726	46421548	-0.012	0.011	-0.045	0.063	0.136	6.744	6.952	6.535	0.503	-0.868	-0.991	
000028	国药一致	0.03	78.04	651027	50695676	-0.087	0.431	-1.036	0.943	3.100	79.627	83.555	75.698	0.831	-1.271	-1.711	
000029	深深房Ａ					-0.013	0.034	-0.094	0.054	0.257	11.278	12.000	10.555	1.545	0.911	-1.183	
000030	富奥股份	2.50	9.03	12511354	111816864	0.073	0.086	-0.026	0.279	0.399	8.842	9.136	8.547	3.338	2.653	2.667	
000031	中粮地产	8.70	8.00	54508000	428272768	0.004	-0.010	0.028	0.102	0.102	7.523	7.895	7.152	7.744	6.536	6.495	
000032	深桑达Ａ					0.135	0.099	0.073	0.413	0.207	15.276	16.163	14.390	0.512	0.652	3.351	
000034	神州数码	-5.78	17.76	11181285	202350080	-0.685	-0.024	-1.322	0.019	1.111	22.898	26.659	19.137	-15.583	-20.311	-21.523	
000035	中国天楹	0.00	6.52	3349900	21807482	-0.095	-0.052	-0.087	-0.129	-0.004	6.824	7.183	6.465	-1.112	-3.467	-4.200	
000036	华联控股	10.04	11.29	122584600	1353402112	0.416	0.214	0.404	0.721	0.408	9.149	10.407	7.892	14.677	20.824	24.505	
000037	深南电A	-1.29	9.97	1691600	16907574	-0.034	-0.002	-0.064	0.080	0.265	10.212	10.763	9.660	-0.697	-0.804	-2.039	
000038	深大通					-1.003	-0.936	-0.135	-2.652	-2.749	21.966	24.506	19.426	-5.585	-6.976	-11.634	
000039	中集集团	1.35	18.07	22442456	405308832	0.201	0.212	-0.022	0.690	0.898	17.652	18.251	17.052	2.554	2.948	2.985	
000040	东旭蓝天	0.16	12.47	2604675	32353326	-0.073	0.028	-0.200	0.192	0.338	12.965	13.791	12.139	-0.160	-3.196	-3.471	
000042	中洲控股	-1.23	16.92	627232	10630448	-0.125	-0.195	0.139	-0.521	-0.633	16.767	17.179	16.354	0.884	1.327	0.560	
000043	中航地产	-0.93	10.64	3988045	42619736	0.239	0.275	-0.073	1.020	1.006	10.455	11.678	9.233	0.330	-1.367	3.130	
000045	深纺织Ａ	-1.19	10.77	4334722	46811112	-0.322	-0.217	-0.210	-0.621	-0.168	11.465	12.688	10.241	1.158	-3.017	-6.760	
