历史行情.指标排序自选股 日期:2017-07-24,一 指标:MACD(12,26,9)   KDJ(9,3,3)   DMI(7,6)   EXPMA(12,50)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  K	  D	  J	  PDI	  MDI	  ADX	  ADXR	  EXP1	  EXP2	
000001	平安银行	0.55	10.95	169266448	1846886656	0.510	0.416	0.188	82.996	84.087	80.815	23.664	6.107	81.060	75.743	10.493	9.581	
000002	万 科Ａ	-3.95	23.80	83526008	2000738176	0.662	0.863	-0.401	30.805	40.406	11.603	12.647	34.681	40.043	43.745	24.623	22.948	
000004	国农科技	-0.60	21.37	916923	19591826	-2.626	-2.724	0.195	22.385	20.804	25.548	1.835	63.303	97.240	98.620	22.863	29.187	
000005	世纪星源	0.20	4.92	2951190	14515843	-0.111	-0.091	-0.040	28.652	23.240	39.477	16.667	46.429	46.189	40.279	4.994	5.277	
000006	深振业Ａ	0.71	8.53	12875127	109688944	-0.039	-0.026	-0.027	64.599	50.233	93.331	28.723	32.979	45.080	48.343	8.454	8.478	
000007	全新好	3.43	16.60	12424005	208364976	-0.414	-0.377	-0.074	60.003	42.640	94.730	25.941	36.114	73.703	51.085	15.833	16.489	
000008	神州高铁	0.13	7.70	7690976	59061744	0.054	0.013	0.082	83.630	74.466	101.959	35.374	21.088	43.021	40.201	7.470	7.499	
000009	中国宝安	2.15	8.55	59475360	503202976	0.087	0.063	0.048	70.007	51.582	106.856	36.214	26.337	37.819	42.470	8.171	8.121	
000010	美丽生态	1.25	4.86	5557500	26864004	-0.119	-0.101	-0.037	31.621	27.023	40.818	20.000	41.818	63.137	46.736	4.909	5.263	
000011	深物业A	-0.10	19.51	10218820	200651200	-0.153	-0.101	-0.103	64.832	50.380	93.738	29.966	34.075	32.986	48.744	19.268	19.157	
000012	南 玻Ａ	-1.39	8.52	25745252	219683728	0.156	0.117	0.078	65.256	65.802	64.163	35.648	23.611	36.727	59.513	8.449	8.311	
000014	沙河股份	-0.65	16.81	1256700	21164128	-0.142	-0.158	0.033	43.898	40.924	49.846	36.029	16.912	27.785	24.181	16.891	17.249	
