历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000001	平安银行	0.55	10.95	169266448	1846886656	0.510	0.416	0.188	1.137	1.020	0.825	0.590	1177.725	1092.202	
000002	万 科Ａ	-3.95	23.80	83526008	2000738176	0.662	0.863	-0.401	-0.317	0.112	0.507	0.660	130.566	153.510	
000004	国农科技	-0.60	21.37	916923	19591826	-2.626	-2.724	0.195	-2.363	-1.749	-1.421	-1.429	-14.193	-7.133	
000005	世纪星源	0.20	4.92	2951190	14515843	-0.111	-0.091	-0.040	-0.709	-0.636	-0.297	-0.174	-23.754	-10.607	
000006	深振业Ａ	0.71	8.53	12875127	109688944	-0.039	-0.026	-0.027	-0.478	-0.595	-0.121	-0.044	15.402	15.311	
000007	全新好	3.43	16.60	12424005	208364976	-0.414	-0.377	-0.074	-0.671	-0.890	-0.444	-0.226	21.596	8.690	
000008	神州高铁	0.13	7.70	7690976	59061744	0.054	0.013	0.082	0.013	-0.149	0.085	0.052	20.525	11.294	
000009	中国宝安	2.15	8.55	59475360	503202976	0.087	0.063	0.048	-0.195	-0.292	0.139	0.221	206.629	138.018	
000010	美丽生态	1.25	4.86	5557500	26864004	-0.119	-0.101	-0.037	-0.765	-0.615	-0.283	-0.153	-6.710	-8.235	
000011	深物业A	-0.10	19.51	10218820	200651200	-0.153	-0.101	-0.103	-0.701	-0.940	-0.234	-0.116	-13.913	-1.151	
000012	南 玻Ａ	-1.39	8.52	25745252	219683728	0.156	0.117	0.078	0.137	0.238	0.322	0.244	59.077	60.672	
000014	沙河股份	-0.65	16.81	1256700	21164128	-0.142	-0.158	0.033	0.135	0.016	-0.155	-0.171	-7.748	-6.092	
000016	深康佳Ａ	-0.19	5.13	14261750	73042456	0.100	0.137	-0.073	-0.494	0.111	0.408	0.577	84.267	79.210	
000017	深中华A	0.50	7.99	2316636	18438340	-0.234	-0.171	-0.125	-1.089	-0.908	-0.357	-0.137	-2.600	-1.545	
000018	神州长城	1.68	7.27	9537060	69544776	-0.191	-0.167	-0.047	-0.682	-0.724	-0.343	-0.225	-46.898	-31.725	
000019	深深宝Ａ	0.26	11.59	11384663	131754424	-0.178	-0.084	-0.187	-1.192	-1.105	-0.241	0.031	26.492	31.921	
000020	深华发Ａ					-0.871	-0.695	-0.353	-1.089	-0.687	-0.600	-0.476	-3.175	-4.128	
000021	深科技	0.72	8.38	5728724	47760900	-0.063	-0.026	-0.074	-0.570	-0.502	-0.109	0.031	-3.354	0.417	
000022	深赤湾Ａ	1.77	28.19	6633396	185396304	0.006	0.290	-0.568	-0.641	-0.769	-0.026	0.144	-33.518	-10.668	
000023	深天地Ａ	-0.86	25.38	690987	17523732	0.036	0.247	-0.423	-0.882	-0.766	0.080	0.284	-4.323	1.512	
000025	特 力Ａ	1.60	47.76	6819906	331510016	0.953	1.760	-1.613	-1.142	-0.409	0.498	0.915	31.781	51.846	
000026	飞亚达Ａ	2.47	11.60	4678409	53538640	-0.294	-0.180	-0.228	-1.383	-0.901	-0.288	-0.044	1.729	-0.132	
000027	深圳能源	0.15	6.67	9951587	66317264	-0.012	0.006	-0.036	-0.321	-0.096	-0.008	0.075	17.271	10.823	
000028	国药一致	-0.08	77.98	466054	36240792	-0.114	0.322	-0.872	-0.073	-0.024	-0.011	0.139	0.890	0.895	
000029	深深房Ａ					-0.013	0.034	-0.094	-0.583	-0.787	-0.042	0.086	52.933	49.458	
000030	富奥股份	3.21	9.32	18460760	172393072	0.109	0.091	0.038	0.036	-0.151	0.119	0.183	41.789	25.102	
000031	中粮地产					0.004	-0.010	0.028	-0.287	-0.253	-0.014	0.053	61.259	23.894	
000032	深桑达Ａ					0.135	0.099	0.073	0.203	0.321	0.145	0.065	24.229	13.975	
000034	神州数码	0.90	17.92	7737930	138797056	-0.920	-0.203	-1.434	-0.411	-0.008	-0.269	0.170	23.238	16.518	
000035	中国天楹	0.46	6.55	7916398	52044544	-0.100	-0.062	-0.076	-0.915	-0.535	-0.162	-0.035	11.906	-1.249	
000036	华联控股	2.30	11.55	175880160	2094710272	0.541	0.280	0.523	1.928	0.646	0.604	0.283	248.181	167.837	
000037	深南电A	-0.80	9.89	1986100	19749116	-0.044	-0.010	-0.068	-0.203	-0.217	-0.055	0.027	3.946	4.256	
