历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   VR(24,6)   CR(26,10,20,40,62)   BRAR(26)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  VR	  MAVR	  CR	  MA1	  MA2	  MA3	  MA4	  BR	  AR	
000001	平安银行	0.55	10.95	169266448	1846886656	0.510	0.416	0.188	373.047	339.449	319.033	249.133	175.373	111.958	79.165	205.581	263.333	
000002	万 科Ａ	-3.95	23.80	83526008	2000738176	0.662	0.863	-0.401	113.166	125.912	134.801	176.346	204.866	110.156	99.930	142.894	149.058	
000004	国农科技	-0.60	21.37	916923	19591826	-2.626	-2.724	0.195	35.054	38.487	26.997	20.447	32.011	83.110	86.588	20.984	59.241	
000005	世纪星源	0.20	4.92	2951190	14515843	-0.111	-0.091	-0.040	77.446	91.584	70.027	104.716	113.594	70.129	68.994	77.500	85.235	
000006	深振业Ａ	0.71	8.53	12875127	109688944	-0.039	-0.026	-0.027	90.735	96.691	80.751	108.137	136.199	107.614	95.404	95.172	114.559	
000007	全新好	3.43	16.60	12424005	208364976	-0.414	-0.377	-0.074	218.138	151.272	108.500	93.042	84.664	104.258	139.632	102.255	168.367	
000008	神州高铁	0.13	7.70	7690976	59061744	0.054	0.013	0.082	168.606	127.041	127.428	137.688	120.709	62.981	74.412	90.404	83.744	
000009	中国宝安	2.15	8.55	59475360	503202976	0.087	0.063	0.048	158.595	134.530	148.348	164.716	130.219	61.465	59.924	134.122	171.146	
000010	美丽生态	1.25	4.86	5557500	26864004	-0.119	-0.101	-0.037	86.148	74.145	67.482	115.917	100.871	56.129	66.617	64.767	74.251	
000011	深物业A	-0.10	19.51	10218820	200651200	-0.153	-0.101	-0.103	95.798	112.015	94.008	110.871	150.091	139.797	117.610	108.004	127.412	
000012	南 玻Ａ	-1.39	8.52	25745252	219683728	0.156	0.117	0.078	119.370	158.304	154.233	174.182	122.783	59.322	60.446	124.051	118.987	
000014	沙河股份	-0.65	16.81	1256700	21164128	-0.142	-0.158	0.033	51.199	56.051	74.315	89.633	114.143	100.170	96.971	88.889	112.054	
000016	深康佳Ａ	-0.19	5.13	14261750	73042456	0.100	0.137	-0.073	133.754	132.667	139.474	244.928	189.987	115.594	102.726	122.018	134.146	
000017	深中华A	0.50	7.99	2316636	18438340	-0.234	-0.171	-0.125	93.321	98.048	67.849	132.770	114.463	69.792	71.618	86.933	112.618	
000018	神州长城	1.68	7.27	9537060	69544776	-0.191	-0.167	-0.047	69.791	84.594	67.015	101.806	104.794	73.673	89.671	67.089	79.038	
000019	深深宝Ａ	0.26	11.59	11384663	131754424	-0.178	-0.084	-0.187	116.351	126.685	91.518	141.764	134.028	81.373	76.535	107.956	172.458	
000020	深华发Ａ					-0.871	-0.695	-0.353	67.336	65.710	59.300	69.505	101.221	151.220	121.819	61.981	72.590	
000021	深科技	0.72	8.38	5728724	47760900	-0.063	-0.026	-0.074	97.558	111.895	95.481	119.002	131.620	88.962	75.210	86.939	79.592	
000022	深赤湾Ａ	1.77	28.19	6633396	185396304	0.006	0.290	-0.568	56.698	73.570	98.953	135.570	158.362	124.905	138.953	110.582	125.103	
000023	深天地Ａ	-0.86	25.38	690987	17523732	0.036	0.247	-0.423	49.155	70.898	120.822	154.511	131.201	79.677	73.558	103.696	123.894	
000025	特 力Ａ	1.60	47.76	6819906	331510016	0.953	1.760	-1.613	116.431	127.369	150.314	177.455	140.441	70.603	66.844	144.420	197.062	
000026	飞亚达Ａ	2.47	11.60	4678409	53538640	-0.294	-0.180	-0.228	149.665	132.502	79.201	127.328	106.280	71.464	83.872	70.339	78.795	
000027	深圳能源	0.15	6.67	9951587	66317264	-0.012	0.006	-0.036	142.821	138.099	110.227	144.336	136.271	94.003	97.933	122.222	126.549	
000028	国药一致	-0.08	77.98	466054	36240792	-0.114	0.322	-0.872	55.354	58.051	111.484	154.384	143.273	102.769	119.786	97.666	117.948	
000029	深深房Ａ					-0.013	0.034	-0.094	229.598	191.120	109.333	116.972	123.238	126.779	104.266	139.157	184.541	
000030	富奥股份	3.21	9.32	18460760	172393072	0.109	0.091	0.038	150.331	113.532	147.014	160.806	157.910	105.111	96.304	82.121	113.406	
000031	中粮地产					0.004	-0.010	0.028	181.713	116.092	123.855	145.121	118.234	69.725	77.560	135.979	159.064	
000032	深桑达Ａ					0.135	0.099	0.073	146.911	114.748	87.206	105.148	102.336	97.079	103.188	69.315	97.738	
000034	神州数码	0.90	17.92	7737930	138797056	-0.920	-0.203	-1.434	101.650	136.631	72.308	134.671	139.002	82.473	57.554	67.755	145.743	
000035	中国天楹	0.46	6.55	7916398	52044544	-0.100	-0.062	-0.076	101.518	85.237	67.814	110.757	105.348	72.209	95.309	35.714	43.590	
000036	华联控股	2.30	11.55	175880160	2094710272	0.541	0.280	0.523	308.084	175.787	399.185	141.588	141.699	120.207	107.752	273.611	209.375	
000037	深南电A	-0.80	9.89	1986100	19749116	-0.044	-0.010	-0.068	75.820	82.941	94.226	117.686	140.198	87.473	90.510	76.777	110.028	
000038	深大通					-1.003	-0.936	-0.135	65.924	69.917	53.588	49.391	64.621	85.940	73.054	64.993	70.732	
000039	中集集团	1.94	18.42	31202208	575975232	0.249	0.219	0.060	163.154	135.516	139.185	140.018	152.179	111.026	97.860	138.938	157.115	
000040	东旭蓝天	-1.92	12.23	4394094	54057084	-0.107	0.001	-0.215	107.414	112.895	95.189	156.507	126.673	100.400	125.259	90.554	84.739	
000042	中洲控股	2.01	17.26	1023182	17651198	-0.078	-0.171	0.186	166.543	121.067	93.953	63.010	81.049	85.924	85.745	82.658	71.097	
000043	中航地产	-0.19	10.62	3849610	40845316	0.221	0.264	-0.086	148.035	150.529	135.505	212.008	155.850	74.784	87.809	124.503	152.357	
000045	深纺织Ａ	-0.19	10.75	2971833	31896010	-0.321	-0.238	-0.167	74.435	90.703	66.667	103.335	111.931	92.462	75.589	83.333	96.514	
000046	泛海控股	2.97	8.68	19953972	174303488	0.014	-0.012	0.053	158.603	123.403	132.947	117.132	122.096	83.714	81.321	125.701	134.975	
000048	康达尔	-0.80	24.78	244805	6068995	-0.503	-0.381	-0.243	71.219	74.631	75.110	94.367	97.155	67.702	67.253	90.399	57.748	
000049	德赛电池	0.55	53.12	3233449	170589536	-0.139	-0.103	-0.072	127.881	120.578	108.264	112.477	93.964	101.371	131.013	86.680	96.599	
000050	深天马Ａ	0.17	22.90	35918680	818694784	0.971	0.798	0.346	264.624	243.922	216.487	201.412	147.470	102.006	92.707	175.924	171.617	
000055	方大集团	1.42	7.12	9960298	70642800	-0.095	-0.096	0.002	123.296	115.453	76.850	117.214	98.364	56.003	75.132	85.043	81.435	
000056	皇庭国际	-1.77	12.73	1967002	25374880	0.263	0.202	0.123	205.408	194.858	150.570	124.873	113.632	82.987	77.847	106.318	122.300	
000058	深 赛 格	0.94	7.52	2983557	22324502	-0.178	-0.112	-0.132	82.030	96.260	70.823	136.592	130.888	68.002	62.582	74.652	112.892	
000059	华锦股份	-0.08	12.25	104856848	1302587264	0.477	0.335	0.285	194.746	184.878	197.606	194.195	136.955	79.928	66.328	180.435	180.165	
000060	中金岭南	0.17	12.10	66331452	809123712	0.336	0.299	0.074	322.192	255.698	173.378	199.907	176.909	90.633	70.998	147.619	148.663	
000061	农 产 品					-0.069	-0.095	0.053	140.067	133.370	119.161	102.130	56.699	42.567	60.409	121.094	154.976	
000062	深圳华强	4.13	25.97	7479033	194888384	-0.812	-0.708	-0.208	83.835	96.662	62.878	64.060	87.476	108.299	89.776	71.880	75.021	
000063	中兴通讯	1.31	23.97	50853688	1207725952	0.509	0.578	-0.138	147.267	139.214	130.587	174.707	232.880	177.896	157.125	127.638	135.637	
000065	北方国际	1.00	25.25	6234324	156764688	-0.183	-0.361	0.357	105.944	104.433	91.778	111.207	99.584	62.100	97.363	85.783	104.614	
000066	中国长城	4.03	9.55	38030956	355812288	0.121	0.127	-0.011	246.578	255.465	141.796	180.105	113.499	65.801	84.921	146.027	157.040	
000068	华控赛格	0.95	6.37	3249551	20521034	-0.178	-0.151	-0.053	77.613	87.665	71.974	91.194	87.625	82.922	93.252	61.846	76.370	
000069	华侨城Ａ	-2.01	9.27	44360180	415713664	0.021	0.100	-0.159	146.865	144.164	104.232	131.578	173.858	157.685	142.333	103.572	107.805	
000070	特发信息	0.57	10.60	3367062	35677708	-0.289	-0.246	-0.086	40.047	46.494	63.901	99.095	126.352	86.111	78.148	76.353	111.298	
000078	海王生物	0.17	6.04	12671909	76394704	0.012	0.032	-0.041	161.740	161.696	86.225	123.361	130.777	95.697	78.718	76.733	85.027	
000088	盐 田 港	2.61	9.45	15743644	147768144	-0.273	-0.187	-0.174	70.538	97.557	60.200	98.492	139.286	126.395	146.705	67.762	85.231	
000089	深圳机场	0.11	9.19	6857610	63089072	-0.051	-0.012	-0.078	113.315	94.114	95.238	115.610	136.134	119.181	130.387	63.129	83.544	
000090	天健集团	4.39	11.88	24734110	289491840	0.188	0.232	-0.088	145.606	146.227	135.764	151.910	147.316	117.816	125.619	123.529	152.414	
000096	广聚能源	-0.49	14.19	630211	8923109	-0.211	-0.209	-0.004	67.721	64.745	65.502	85.660	97.922	82.386	97.919	70.097	69.246	
000099	中信海直					-0.284	-0.228	-0.112	73.202	73.815	58.916	75.427	85.803	113.799	105.133	87.037	72.059	
000100	TCL 集团					-0.010	0.001	-0.023	96.322	106.406	96.774	91.378	97.308	132.211	123.469	68.627	88.636	
000150	宜华健康	-0.04	25.60	3858708	100234000	-0.000	-0.152	0.304	76.778	66.053	108.141	70.432	73.337	70.551	73.906	66.465	83.941	
000151	中成股份	0.73	18.02	5352332	97143264	-0.461	-0.384	-0.154	51.085	43.885	70.627	95.613	112.207	94.203	112.698	77.392	84.277	
000153	丰原药业	-0.73	9.56	4335407	41248336	-0.887	-0.626	-0.522	41.050	56.755	46.206	83.060	98.696	139.186	141.093	54.273	113.144	
000156	华数传媒	0.00	14.30	1777078	25305700	-0.191	-0.151	-0.079	87.018	90.485	71.390	111.795	104.636	57.010	57.387	66.106	73.021	
000157	中联重科	0.63	4.82	57967852	279722944	0.084	0.056	0.055	188.101	157.098	240.351	154.223	144.725	87.041	87.044	169.565	170.588	
000158	常山股份	1.22	10.75	23416344	246750640	-0.286	-0.143	-0.287	118.193	137.512	71.299	104.675	109.929	120.713	122.264	77.139	88.555	
000159	国际实业	-0.31	6.41	5598200	35743256	-0.126	-0.076	-0.099	171.644	175.572	100.154	140.637	99.729	58.826	73.090	92.283	142.553	
000166	申万宏源	0.00	5.84	41356128	242482336	0.061	0.046	0.029	116.374	119.608	150.885	137.236	136.335	76.741	66.423	123.932	161.000	
000301	东方市场					-0.002	0.008	-0.020	118.008	120.997	115.789	110.753	83.734	95.363	125.226	88.235	115.730	
000333	美的集团	3.63	43.42	60522160	2602473472	0.555	0.699	-0.287	68.996	70.780	134.569	164.442	208.397	177.029	143.254	104.770	114.708	
000338	潍柴动力	0.14	6.92	139419520	954841600	0.256	0.256	-0.000	183.605	207.664	183.592	227.336	217.607	116.962	96.683	174.766	148.673	
000400	许继电气	1.46	17.33	5688974	98410720	0.023	0.134	-0.221	187.216	170.283	128.759	161.341	132.456	79.676	88.137	108.000	138.348	
000401	冀东水泥	0.06	15.62	43393212	673088832	-0.246	-0.224	-0.044	155.663	128.223	92.571	105.888	82.269	78.849	116.379	96.279	116.644	
000402	金 融 街	1.73	12.36	26051328	320307200	0.206	0.151	0.110	160.908	163.145	152.632	115.521	132.407	108.023	115.684	149.678	176.344	
000403	ST生化					0.407	0.023	0.769	225.631	218.235	189.210	70.983	62.533	77.509	109.733	169.417	166.997	
000404	华意压缩	0.96	7.36	8424051	61854152	-0.159	-0.116	-0.086	99.897	98.501	80.000	117.966	92.378	68.738	84.061	75.852	89.262	
000407	胜利股份	8.68	8.51	17285612	138748864	-0.420	-0.340	-0.160	47.317	37.144	37.719	88.095	120.206	81.795	106.046	65.227	53.831	
000408	藏格控股	0.14	13.90	3706052	51889016	-0.007	-0.050	0.085	151.007	125.665	127.305	107.997	98.470	72.056	98.450	127.654	181.481	
000409	山东地矿	1.29	7.04	5274624	36972688	-0.758	-0.571	-0.373	40.775	44.663	50.330	88.744	91.714	66.489	107.280	64.151	142.211	
000410	*ST沈机	0.95	8.52	7502677	64079524	0.303	0.253	0.100	107.686	112.075	163.345	167.928	117.624	52.752	55.978	164.684	163.008	
000411	英特集团	-0.91	20.80	380901	7936865	-0.210	-0.126	-0.169	107.984	95.185	82.677	109.107	102.551	74.856	77.286	91.484	136.762	
000413	东旭光电	2.71	11.37	115142736	1294627072	0.099	0.170	-0.142	157.811	148.375	129.026	204.739	170.349	89.223	79.475	135.236	161.074	
000415	渤海金控	3.60	7.19	58024024	417118336	0.115	0.090	0.049	224.343	186.971	185.494	184.891	137.229	83.688	87.551	152.841	228.571	
000416	民生控股	1.82	8.93	23117128	207308832	0.055	-0.044	0.198	204.605	103.591	143.851	132.879	109.018	60.807	53.996	103.647	126.280	
000417	合肥百货	1.80	8.50	6868324	58053044	0.049	0.056	-0.015	246.382	205.555	134.700	182.923	125.506	71.647	75.579	113.021	151.852	
000418	小天鹅Ａ	3.13	45.50	3058313	137823344	-0.580	-0.516	-0.127	58.839	50.783	85.379	91.269	123.773	137.893	157.263	85.047	91.183	
000419	通程控股	0.45	6.76	3547257	23936846	-0.055	-0.044	-0.023	115.378	101.318	88.308	129.729	115.708	64.276	67.285	75.622	77.273	
000420	吉林化纤	1.48	3.43	17831896	61039808	0.081	0.054	0.054	181.195	196.754	167.760	152.979	102.250	53.400	58.301	94.262	129.412	
000421	南京公用	1.00	7.07	3026781	21346196	-0.052	-0.035	-0.034	136.691	133.482	94.952	137.614	127.131	68.626	62.563	101.031	126.946	
000422	湖北宜化	0.30	6.75	56943696	386906656	0.179	0.121	0.117	319.622	240.684	211.888	176.846	124.162	61.341	53.051	148.193	226.447	
000423	东阿阿胶	-0.95	65.82	7258151	479410336	-0.586	-0.354	-0.464	87.058	86.487	81.601	110.342	144.600	131.653	162.058	62.082	73.367	
000425	徐工机械	1.51	4.03	112058136	451253344	0.092	0.084	0.016	195.013	171.931	181.522	232.457	177.279	73.435	86.053	134.286	172.222	
000426	兴业矿业	1.96	9.90	34038628	336813760	0.340	0.304	0.073	252.672	185.399	176.946	199.929	180.474	110.408	80.406	126.700	158.824	
000428	华天酒店	0.21	4.87	3456257	16800912	-0.099	-0.082	-0.034	108.567	89.057	70.118	123.386	101.699	58.773	47.579	68.354	76.871	
000429	粤高速Ａ	4.03	9.29	42795224	394617568	0.162	0.072	0.180	134.055	115.344	107.948	96.521	129.104	126.166	133.675	114.873	106.051	
000430	张家界	0.78	10.28	1174280	12015583	-0.112	-0.078	-0.068	118.664	139.228	71.569	128.924	160.402	81.752	71.686	63.281	69.388	
000488	晨鸣纸业	-1.41	16.14	55974476	913298112	0.962	0.868	0.187	171.554	174.356	243.385	296.674	239.909	110.934	91.593	165.620	175.376	
000498	山东路桥	1.21	8.35	15926125	134475952	0.330	0.232	0.195	326.978	369.797	225.067	160.727	111.297	63.162	67.706	173.239	184.974	
000501	鄂武商Ａ	0.81	17.52	7998364	139589024	-0.047	-0.001	-0.091	89.794	73.657	87.130	122.228	158.827	105.794	86.974	70.455	101.418	
000502	绿景控股	-0.09	11.00	1885201	20745598	-0.473	-0.369	-0.208	91.626	98.191	61.444	108.338	102.255	64.057	61.231	69.507	91.552	
000503	海虹控股					-2.068	-1.510	-1.118	48.442	72.720	52.833	66.699	51.554	64.957	72.524	52.574	72.782	
