历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   PSY(12,6)   RSI(6,12,24)   MTM(12,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  PSY	  PSYMA	  RSI1	  RSI2	  RSI3	  MTM	  MTMMA	
000001	平安银行	0.55	10.95	169266448	1846886656	0.510	0.416	0.188	75.000	73.611	82.836	84.424	80.687	1.710	1.625	
000002	万 科Ａ	-3.95	23.80	83526008	2000738176	0.662	0.863	-0.401	50.000	52.778	34.615	47.258	53.487	-0.740	0.143	
000004	国农科技	-0.60	21.37	916923	19591826	-2.626	-2.724	0.195	25.000	27.778	14.822	13.533	18.502	-3.920	-4.068	
000005	世纪星源	0.20	4.92	2951190	14515843	-0.111	-0.091	-0.040	66.667	59.722	39.712	38.245	39.036	-0.260	-0.357	
000006	深振业Ａ	0.71	8.53	12875127	109688944	-0.039	-0.026	-0.027	50.000	40.278	57.648	51.634	50.930	0.010	-0.335	
000007	全新好	3.43	16.60	12424005	208364976	-0.414	-0.377	-0.074	41.667	36.111	65.170	54.606	50.756	-0.890	-2.160	
000008	神州高铁	0.13	7.70	7690976	59061744	0.054	0.013	0.082	66.667	58.333	78.337	68.295	56.950	0.270	0.153	
000009	中国宝安	2.15	8.55	59475360	503202976	0.087	0.063	0.048	58.333	48.611	69.788	62.806	57.060	0.240	-0.075	
000010	美丽生态	1.25	4.86	5557500	26864004	-0.119	-0.101	-0.037	50.000	37.500	44.199	40.663	39.620	-0.280	-0.342	
000011	深物业A	-0.10	19.51	10218820	200651200	-0.153	-0.101	-0.103	58.333	52.778	56.898	51.013	51.569	-0.190	-1.153	
000012	南 玻Ａ	-1.39	8.52	25745252	219683728	0.156	0.117	0.078	50.000	55.556	53.300	56.791	54.058	0.430	0.465	
000014	沙河股份	-0.65	16.81	1256700	21164128	-0.142	-0.158	0.033	33.333	33.333	42.840	42.834	44.295	-0.240	-0.175	
000016	深康佳Ａ	-0.19	5.13	14261750	73042456	0.100	0.137	-0.073	33.333	41.667	45.668	52.910	56.731	-0.270	0.022	
000017	深中华A	0.50	7.99	2316636	18438340	-0.234	-0.171	-0.125	41.667	40.278	39.482	38.054	39.368	-0.780	-0.917	
000018	神州长城	1.68	7.27	9537060	69544776	-0.191	-0.167	-0.047	33.333	37.500	44.825	40.700	41.258	-0.500	-0.488	
000019	深深宝Ａ	0.26	11.59	11384663	131754424	-0.178	-0.084	-0.187	58.333	51.389	49.385	47.300	47.591	-0.690	-1.100	
000020	深华发Ａ					-0.871	-0.695	-0.353	25.000	26.389	23.774	31.043	38.062	-2.660	-2.475	
000021	深科技	0.72	8.38	5728724	47760900	-0.063	-0.026	-0.074	41.667	34.722	50.694	47.238	47.513	-0.380	-0.478	
