历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
000001	平安银行	0.55	10.95	169266448	1846886656	0.510	0.416	0.188	10.680	9.483	72.238	141155760.0	128685264.0	
000002	万 科Ａ	-3.95	23.80	83526008	2000738176	0.662	0.863	-0.401	87.349	49.320	-125.904	127792520.0	128212800.0	
000004	国农科技	-0.60	21.37	916923	19591826	-2.626	-2.724	0.195	79.344	91.157	-83.502	4059557.8	4182960.3	
000005	世纪星源	0.20	4.92	2951190	14515843	-0.111	-0.091	-0.040	70.588	75.610	-56.175	23941590.0	23906438.0	
000006	深振业Ａ	0.71	8.53	12875127	109688944	-0.039	-0.026	-0.027	19.753	39.252	22.476	56824300.0	56802956.0	
000007	全新好	3.43	16.60	12424005	208364976	-0.414	-0.377	-0.074	25.150	25.150	44.807	6099487.5	5807276.0	
000008	神州高铁	0.13	7.70	7690976	59061744	0.054	0.013	0.082	9.091	9.091	173.457	9254316.0	8878757.0	
000009	中国宝安	2.15	8.55	59475360	503202976	0.087	0.063	0.048	11.475	11.475	103.704	68577424.0	66671664.0	
000010	美丽生态	1.25	4.86	5557500	26864004	-0.119	-0.101	-0.037	67.105	67.105	-50.041	7832364.0	7801438.0	
000011	深物业A	-0.10	19.51	10218820	200651200	-0.153	-0.101	-0.103	27.174	56.494	45.093	22077242.0	21919364.0	
000012	南 玻Ａ	-1.39	8.52	25745252	219683728	0.156	0.117	0.078	40.230	31.250	57.039	45418624.0	45302460.0	
000014	沙河股份	-0.65	16.81	1256700	21164128	-0.142	-0.158	0.033	61.207	78.155	-37.126	10083291.0	10154400.0	
000016	深康佳Ａ	-0.19	5.13	14261750	73042456	0.100	0.137	-0.073	58.750	44.762	-72.225	40089456.0	39775324.0	
000017	深中华A	0.50	7.99	2316636	18438340	-0.234	-0.171	-0.125	69.565	70.659	-57.858	6960858.5	6958555.5	
000018	神州长城	1.68	7.27	9537060	69544776	-0.191	-0.167	-0.047	67.000	76.087	-45.702	4685969.0	4936398.5	
000019	深深宝Ａ	0.26	11.59	11384663	131754424	-0.178	-0.084	-0.187	52.060	60.736	-26.010	19660424.0	19363398.0	
000020	深华发Ａ					-0.871	-0.695	-0.353	77.230	84.985	-111.148	4313078.0	4367112.5	
000021	深科技	0.72	8.38	5728724	47760900	-0.063	-0.026	-0.074	51.111	51.111	-36.181	35817484.0	35721192.0	
000022	深赤湾Ａ	1.77	28.19	6633396	185396304	0.006	0.290	-0.568	69.359	80.028	-70.918	7223526.0	7454525.5	
000023	深天地Ａ	-0.86	25.38	690987	17523732	0.036	0.247	-0.423	58.881	59.684	-80.917	3305097.5	3353483.5	
000025	特 力Ａ	1.60	47.76	6819906	331510016	0.953	1.760	-1.613	65.662	37.368	-57.411	8589722.0	8516150.0	
000026	飞亚达Ａ	2.47	11.60	4678409	53538640	-0.294	-0.180	-0.228	65.641	65.641	-56.900	10726273.0	10593206.0	
000027	深圳能源	0.15	6.67	9951587	66317264	-0.012	0.006	-0.036	50.000	56.250	-39.929	47634704.0	47269072.0	
000028	国药一致	-0.08	77.98	466054	36240792	-0.114	0.322	-0.872	66.479	66.479	-47.355	1141574.6	1184132.8	
000029	深深房Ａ					-0.013	0.034	-0.094	37.374	73.276	37.449	25839494.0	25273098.0	
000030	富奥股份	3.21	9.32	18460760	172393072	0.109	0.091	0.038	11.304	11.304	204.518	19643264.0	19357302.0	
000031	中粮地产					0.004	-0.010	0.028	9.174	9.174	142.352	69703568.0	69015664.0	
000032	深桑达Ａ					0.135	0.099	0.073	34.266	34.510	41.441	6833944.0	6794280.5	
000034	神州数码	0.90	17.92	7737930	138797056	-0.920	-0.203	-1.434	96.313	96.711	-139.307	10979192.0	11112065.0	
000035	中国天楹	0.46	6.55	7916398	52044544	-0.100	-0.062	-0.076	52.128	55.000	-60.432	11009116.0	11159102.0	
000036	华联控股	2.30	11.55	175880160	2094710272	0.541	0.280	0.523	23.324	21.588	230.496	44382596.0	39633988.0	
000037	深南电A	-0.80	9.89	1986100	19749116	-0.044	-0.010	-0.068	74.390	83.594	-57.916	10839966.0	10892411.0	
