历史行情.指标排序沪深Ａ股 日期:2017-07-24,一 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000001	平安银行	0.55	10.95	169266448	1846886656	0.510	0.416	0.188	1.376	0.882	9.972	11.501	8.444	0.891	4.610	11.469	
000002	万 科Ａ	-3.95	23.80	83526008	2000738176	0.662	0.863	-0.401	2.659	3.050	24.851	26.091	23.612	-4.135	-3.809	-2.367	
000004	国农科技	-0.60	21.37	916923	19591826	-2.626	-2.724	0.195	-8.480	-8.442	24.076	27.765	20.388	-0.257	-7.302	-12.433	
000005	世纪星源	0.20	4.92	2951190	14515843	-0.111	-0.091	-0.040	-0.203	-0.119	5.102	5.448	4.757	1.200	-1.976	-4.265	
000006	深振业Ａ	0.71	8.53	12875127	109688944	-0.039	-0.026	-0.027	-0.040	0.109	8.537	8.917	8.157	2.258	1.096	-0.278	
000007	全新好	3.43	16.60	12424005	208364976	-0.414	-0.377	-0.074	-1.214	-0.678	16.356	18.453	14.259	9.897	5.002	0.989	
000008	神州高铁	0.13	7.70	7690976	59061744	0.054	0.013	0.082	0.128	0.078	7.392	7.667	7.117	2.987	3.471	4.389	
000009	中国宝安	2.15	8.55	59475360	503202976	0.087	0.063	0.048	0.276	0.336	8.149	8.627	7.671	5.839	4.726	5.442	
000010	美丽生态	1.25	4.86	5557500	26864004	-0.119	-0.101	-0.037	-0.209	-0.144	5.016	5.376	4.655	2.029	-1.967	-3.484	
000011	深物业A	-0.10	19.51	10218820	200651200	-0.153	-0.101	-0.103	-0.252	0.253	19.564	21.067	18.061	3.538	1.933	-1.151	
000012	南 玻Ａ	-1.39	8.52	25745252	219683728	0.156	0.117	0.078	0.492	0.312	8.285	8.824	7.746	0.020	0.878	3.571	
000014	沙河股份	-0.65	16.81	1256700	21164128	-0.142	-0.158	0.033	-0.427	-0.366	16.910	17.180	16.639	-0.158	-0.198	-1.025	
000016	深康佳Ａ	-0.19	5.13	14261750	73042456	0.100	0.137	-0.073	0.396	0.510	5.146	5.633	4.659	0.555	-2.224	1.242	
000017	深中华A	0.50	7.99	2316636	18438340	-0.234	-0.171	-0.125	-0.412	-0.169	8.459	9.334	7.584	1.719	-3.063	-6.014	
000018	神州长城	1.68	7.27	9537060	69544776	-0.191	-0.167	-0.047	-0.375	-0.267	7.491	8.004	6.978	1.607	-1.424	-3.984	
000019	深深宝Ａ	0.26	11.59	11384663	131754424	-0.178	-0.084	-0.187	-0.026	0.415	11.972	13.364	10.581	3.869	-1.285	-4.076	
000020	深华发Ａ					-0.871	-0.695	-0.353	-2.306	-1.532	21.031	23.389	18.672	-2.307	-5.146	-9.136	
000021	深科技	0.72	8.38	5728724	47760900	-0.063	-0.026	-0.074	-0.054	0.165	8.516	8.978	8.053	1.946	-0.357	-1.787	
000022	深赤湾Ａ	1.77	28.19	6633396	185396304	0.006	0.290	-0.568	1.140	1.700	29.087	31.349	26.824	0.118	-1.514	-4.527	
000023	深天地Ａ	-0.86	25.38	690987	17523732	0.036	0.247	-0.423	1.028	1.546	26.476	28.111	24.842	-0.581	-2.715	-4.151	
000025	特 力Ａ	1.60	47.76	6819906	331510016	0.953	1.760	-1.613	5.571	7.348	49.583	54.053	45.114	0.399	-2.424	-3.312	
000026	飞亚达Ａ	2.47	11.60	4678409	53538640	-0.294	-0.180	-0.228	-0.441	-0.054	12.194	13.418	10.971	2.474	-2.793	-5.264	
000027	深圳能源	0.15	6.67	9951587	66317264	-0.012	0.006	-0.036	0.039	0.124	6.738	6.947	6.528	1.010	-0.547	-0.861	
000028	国药一致	-0.08	77.98	466054	36240792	-0.114	0.322	-0.872	0.640	2.731	79.526	83.518	75.534	0.954	-0.759	-1.765	
000029	深深房Ａ					-0.013	0.034	-0.094	0.054	0.257	11.278	12.000	10.555	1.545	0.911	-1.183	
000030	富奥股份	3.21	9.32	18460760	172393072	0.109	0.091	0.038	0.283	0.375	8.861	9.223	8.498	5.350	5.539	5.574	
000031	中粮地产					0.004	-0.010	0.028	0.102	0.102	7.523	7.895	7.152	7.744	6.536	6.495	
000032	深桑达Ａ					0.135	0.099	0.073	0.413	0.207	15.276	16.163	14.390	0.512	0.652	3.351	
000034	神州数码	0.90	17.92	7737930	138797056	-0.920	-0.203	-1.434	-0.468	0.904	22.633	26.997	18.269	-10.993	-17.996	-20.292	
000035	中国天楹	0.46	6.55	7916398	52044544	-0.100	-0.062	-0.076	-0.156	-0.024	6.811	7.190	6.431	0.000	-2.457	-3.641	
000036	华联控股	2.30	11.55	175880160	2094710272	0.541	0.280	0.523	0.920	0.467	9.286	10.927	7.644	12.775	20.805	25.749	
000037	深南电A	-0.80	9.89	1986100	19749116	-0.044	-0.010	-0.068	0.046	0.222	10.167	10.663	9.670	-0.603	-1.248	-2.725	
000038	深大通					-1.003	-0.936	-0.135	-2.652	-2.749	21.966	24.506	19.426	-5.585	-6.976	-11.634	
000039	中集集团	1.94	18.42	31202208	575975232	0.249	0.219	0.060	0.740	0.856	17.684	18.375	16.993	4.107	4.481	4.652	
000040	东旭蓝天	-1.92	12.23	4394094	54057084	-0.107	0.001	-0.215	0.104	0.322	12.936	13.824	12.049	-0.798	-4.497	-5.194	
000042	中洲控股	2.01	17.26	1023182	17651198	-0.078	-0.171	0.186	-0.451	-0.615	16.771	17.201	16.340	2.251	3.076	2.570	
000043	中航地产	-0.19	10.62	3849610	40845316	0.221	0.264	-0.086	0.948	1.041	10.506	11.663	9.349	0.935	-1.439	2.559	
000045	深纺织Ａ	-0.19	10.75	2971833	31896010	-0.321	-0.238	-0.167	-0.696	-0.263	11.406	12.649	10.163	1.447	-2.465	-6.413	
