历史行情.指标排序自选股 日期:2017-07-25,二 指标:MACD(12,26,9)   KDJ(9,3,3)   DMI(7,6)   EXPMA(12,50)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  K	  D	  J	  PDI	  MDI	  ADX	  ADXR	  EXP1	  EXP2	
000001	平安银行	0.46	11.00	195476832	2172114688	0.512	0.435	0.155	81.101	83.092	77.120	29.699	6.015	75.446	80.182	10.571	9.636	
000002	万 科Ａ	-2.27	23.26	36265480	849637888	0.504	0.791	-0.573	20.920	33.911	-5.062	13.491	27.816	38.665	38.392	24.413	22.961	
000004	国农科技	0.14	21.40	789543	16929426	-2.548	-2.689	0.281	23.257	21.621	26.527	1.923	64.263	96.272	98.136	22.638	28.881	
000005	世纪星源	-1.22	4.86	3417052	16663863	-0.114	-0.096	-0.036	29.708	25.396	38.331	16.471	48.235	46.624	39.067	4.973	5.261	
000006	深振业Ａ	0.70	8.59	11431717	97475672	-0.025	-0.026	0.001	72.284	57.584	101.686	30.939	28.729	32.694	44.068	8.475	8.483	
000007	全新好	0.12	16.62	6379205	105571864	-0.321	-0.366	0.090	68.433	51.238	102.825	28.781	22.235	60.121	50.231	15.954	16.494	
000008	神州高铁	-2.21	7.53	5770348	43798012	0.055	0.022	0.067	78.697	75.876	84.339	33.548	23.226	33.872	37.704	7.479	7.500	
000009	中国宝安	-1.17	8.45	42194736	352939872	0.103	0.071	0.063	76.368	59.844	109.416	34.241	23.735	32.377	36.428	8.214	8.133	
000010	美丽生态	-0.82	4.82	3706800	17937096	-0.117	-0.104	-0.027	34.288	29.444	43.976	19.091	41.818	60.054	43.417	4.895	5.245	
000011	深物业A	-2.00	19.12	8333333	159805616	-0.153	-0.112	-0.083	64.908	55.223	84.280	29.561	35.642	23.159	41.188	19.246	19.155	
000012	南 玻Ａ	-0.82	8.45	18072512	153396656	0.145	0.123	0.044	58.655	63.420	49.126	27.700	26.761	30.628	55.027	8.449	8.317	
000014	沙河股份	0.71	16.93	1607596	27089256	-0.128	-0.152	0.048	45.645	42.498	51.939	37.591	16.788	24.087	25.609	16.897	17.237	
000016	深康佳Ａ	2.92	5.28	22701760	118392384	0.103	0.130	-0.055	53.157	49.924	59.624	30.682	28.977	30.142	45.278	5.177	4.921	
000017	深中华A	-1.38	7.88	2157800	17013780	-0.240	-0.185	-0.109	32.638	28.304	41.307	14.978	36.564	68.284	54.518	8.122	8.708	
000018	神州长城	0.55	7.31	14755244	107704336	-0.179	-0.170	-0.019	43.209	32.565	64.498	19.760	29.940	57.711	47.357	7.332	7.829	
000019	深深宝Ａ	-2.67	11.28	12237062	139594784	-0.193	-0.106	-0.175	41.991	36.768	52.439	24.113	29.551	46.142	45.925	11.585	11.932	
000020	深华发Ａ	0.00	19.20	0	0	-0.885	-0.733	-0.305	28.851	25.984	34.585	0.412	41.031	73.881	65.410	20.034	21.547	
000021	深科技	-0.72	8.32	6160614	51379056	-0.063	-0.033	-0.060	49.586	40.023	68.713	24.667	32.667	46.546	51.055	8.373	8.497	
000022	深赤湾Ａ	-1.24	27.84	6399239	180699664	-0.055	0.221	-0.552	27.980	33.399	17.141	14.667	36.000	31.630	34.428	28.485	27.627	
000023	深天地Ａ	-1.97	24.88	670400	16734686	-0.051	0.188	-0.477	41.424	42.339	39.594	21.262	36.656	24.827	33.798	25.774	25.818	
000025	特 力Ａ	5.42	50.35	11753036	579862336	1.046	1.617	-1.141	37.547	30.742	51.158	16.467	28.417	20.061	25.511	48.610	46.248	
