历史行情.指标排序沪深Ａ股 日期:2017-07-25,二 指标:MACD(12,26,9)   EMV(14,9)   TRIX(12,9)   WVAD(24,6)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  EMV	  MAEMV	  TRIX	  MATRIX	  WVAD	  MAWVAD	
000001	平安银行	0.46	11.00	195476832	2172114688	0.512	0.435	0.155	1.283	1.079	0.845	0.653	1204.140	1139.752	
000002	万 科Ａ	-2.27	23.26	36265480	849637888	0.504	0.791	-0.573	-0.254	-0.003	0.436	0.619	102.119	148.238	
000004	国农科技	0.14	21.40	789543	16929426	-2.548	-2.689	0.281	-2.268	-1.903	-1.410	-1.418	-11.508	-8.074	
000005	世纪星源	-1.22	4.86	3417052	16663863	-0.114	-0.096	-0.036	-0.760	-0.678	-0.313	-0.202	-21.391	-12.544	
000006	深振业Ａ	0.70	8.59	11431717	97475672	-0.025	-0.026	0.001	-0.437	-0.612	-0.113	-0.064	36.043	17.812	
000007	全新好	0.12	16.62	6379205	105571864	-0.321	-0.366	0.090	-0.771	-0.933	-0.418	-0.272	20.738	13.147	
000008	神州高铁	-2.21	7.53	5770348	43798012	0.055	0.022	0.067	-0.082	-0.150	0.104	0.058	17.111	13.675	
000009	中国宝安	-1.17	8.45	42194736	352939872	0.103	0.071	0.063	-0.319	-0.342	0.158	0.201	210.480	160.602	
000010	美丽生态	-0.82	4.82	3706800	17937096	-0.117	-0.104	-0.027	-0.758	-0.663	-0.300	-0.178	-8.200	-8.040	
000011	深物业A	-2.00	19.12	8333333	159805616	-0.153	-0.112	-0.083	-0.887	-0.971	-0.229	-0.148	-11.213	-1.901	
000012	南 玻Ａ	-0.82	8.45	18072512	153396656	0.145	0.123	0.044	0.066	0.200	0.324	0.262	55.308	63.839	
000014	沙河股份	0.71	16.93	1607596	27089256	-0.128	-0.152	0.048	0.061	0.057	-0.145	-0.169	-6.315	-6.540	
000016	深康佳Ａ	2.92	5.28	22701760	118392384	0.103	0.130	-0.055	-0.628	-0.051	0.372	0.547	100.088	84.494	
000017	深中华A	-1.38	7.88	2157800	17013780	-0.240	-0.185	-0.109	-1.145	-1.014	-0.388	-0.188	-2.653	-1.413	
000018	神州长城	0.55	7.31	14755244	107704336	-0.179	-0.170	-0.019	-0.662	-0.734	-0.349	-0.252	-42.273	-34.507	
000019	深深宝Ａ	-2.67	11.28	12237062	139594784	-0.193	-0.106	-0.175	-1.324	-1.221	-0.269	-0.034	5.071	28.335	
000020	深华发Ａ	0.00	19.20	0	0	-0.885	-0.733	-0.305	-1.173	-0.796	-0.628	-0.504	-1.874	-3.690	
000021	深科技	-0.72	8.32	6160614	51379056	-0.063	-0.033	-0.060	-0.588	-0.547	-0.123	-0.002	-2.531	0.348	
000022	深赤湾Ａ	-1.24	27.84	6399239	180699664	-0.055	0.221	-0.552	-0.483	-0.764	-0.063	0.102	-25.932	-13.871	
000023	深天地Ａ	-1.97	24.88	670400	16734686	-0.051	0.188	-0.477	-1.029	-0.897	0.032	0.234	-0.999	0.834	
000025	特 力Ａ	5.42	50.35	11753036	579862336	1.046	1.617	-1.141	-0.827	-0.528	0.427	0.825	40.538	47.423	
000026	飞亚达Ａ	-1.64	11.41	3316805	37983212	-0.302	-0.204	-0.195	-1.310	-1.059	-0.326	-0.096	2.288	0.017	
000027	深圳能源	-0.90	6.61	8646816	57348048	-0.017	0.001	-0.037	-0.294	-0.152	-0.022	0.056	14.016	13.155	
000028	国药一致	-0.85	77.32	549183	42547900	-0.187	0.220	-0.813	-0.366	-0.087	-0.034	0.103	0.335	0.857	
000029	深深房Ａ	0.00	11.17	0	0	-0.005	0.026	-0.062	-0.354	-0.802	-0.049	0.052	40.415	46.510	
000030	富奥股份	-0.54	9.27	6768132	62390168	0.133	0.099	0.068	0.099	-0.134	0.144	0.165	40.351	29.921	
000031	中粮地产	0.00	8.00	0	0	0.042	0.000	0.084	-0.307	-0.300	0.017	0.044	63.117	30.470	
000032	深桑达Ａ	0.00	15.69	0	0	0.138	0.107	0.063	0.172	0.319	0.151	0.088	20.454	16.093	
000034	神州数码	-0.11	17.90	3699899	66146324	-1.095	-0.382	-1.427	-0.474	-0.131	-0.436	0.082	25.570	19.304	
000035	中国天楹	1.22	6.63	6519545	43250316	-0.095	-0.068	-0.054	-0.838	-0.633	-0.182	-0.062	15.612	2.155	
000036	华联控股	4.24	12.04	119494320	1401213184	0.672	0.358	0.627	1.864	0.865	0.787	0.350	302.494	207.294	
000037	深南电A	-0.81	9.81	2668881	25880988	-0.059	-0.020	-0.077	-0.306	-0.246	-0.073	0.004	4.385	4.558	
000038	深大通	0.00	19.78	0	0	-1.051	-0.959	-0.184	-1.342	-1.448	-0.657	-0.640	-3.077	-2.375	
000039	中集集团	-1.25	18.19	21179794	385745088	0.266	0.229	0.075	0.236	0.033	0.169	0.178	57.480	45.185	
000040	东旭蓝天	1.72	12.44	4179818	51476016	-0.116	-0.023	-0.186	-1.040	-0.745	-0.076	0.100	8.428	9.925	
000042	中洲控股	-1.10	17.07	667600	11487280	-0.056	-0.148	0.185	0.144	-0.144	-0.091	-0.177	-0.797	-1.613	
000043	中航地产	1.41	10.77	4821154	51700388	0.217	0.255	-0.075	-0.441	0.263	0.424	0.561	37.143	34.044	
000045	深纺织Ａ	-0.84	10.66	3144700	33636252	-0.324	-0.255	-0.138	-1.433	-1.352	-0.453	-0.277	-19.694	-13.697	
000046	泛海控股	-1.61	8.54	12652388	107767696	0.023	-0.005	0.056	0.225	-0.072	-0.003	-0.023	10.620	6.338	
000048	康达尔	-0.08	24.76	122609	3030904	-0.526	-0.410	-0.231	-0.835	-0.852	-0.254	-0.145	-1.743	-1.658	
000049	德赛电池	3.16	54.80	5503883	300419584	0.040	-0.074	0.229	-0.107	0.009	-0.024	0.024	7.498	3.363	
000050	深天马Ａ	-2.14	22.41	45117040	1024658432	0.980	0.834	0.292	0.652	0.485	0.703	0.648	183.771	180.207	
000055	方大集团	-0.70	7.07	5145895	36361264	-0.092	-0.095	0.006	-0.414	-0.422	-0.164	-0.131	-1.681	-2.866	
000056	皇庭国际	0.63	12.81	1326680	16754757	0.267	0.215	0.104	0.163	0.326	0.338	0.258	8.512	7.259	
000058	深 赛 格	-1.86	7.38	3267304	24299742	-0.187	-0.127	-0.120	-1.251	-1.043	-0.321	-0.107	-1.638	-0.522	
000059	华锦股份	2.53	12.56	80357488	992892160	0.533	0.375	0.317	0.525	0.568	0.695	0.518	284.126	223.344	
000060	中金岭南	0.74	12.19	62784300	756263040	0.354	0.310	0.088	0.146	0.054	0.442	0.441	318.584	250.647	
000061	农 产 品	0.00	9.06	0	0	-0.054	-0.087	0.067	-0.055	0.032	-0.020	-0.037	11.960	10.992	
000062	深圳华强	-2.31	25.37	4610923	117615240	-0.785	-0.723	-0.123	-0.873	-0.868	-0.500	-0.429	-11.918	-15.837	
000063	中兴通讯	-3.55	23.12	57363812	1349045888	0.462	0.555	-0.187	-0.248	-0.217	0.254	0.359	23.658	117.441	
000065	北方国际	-2.02	24.74	6221880	156222144	-0.133	-0.316	0.366	-0.515	-0.585	-0.142	-0.174	5.661	1.807	
000066	中国长城	-0.94	9.46	38122480	363324032	0.129	0.127	0.004	-0.231	-0.072	0.263	0.352	117.173	109.648	
