历史行情.指标排序沪深Ａ股 日期:2017-07-25,二 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000001	平安银行	0.46	11.00	195476832	2172114688	0.512	0.435	0.155	1.422	0.982	10.063	11.612	8.513	0.810	3.692	11.032	
000002	万 科Ａ	-2.27	23.26	36265480	849637888	0.504	0.791	-0.573	2.446	2.945	24.691	25.875	23.506	-5.466	-5.687	-4.945	
000004	国农科技	0.14	21.40	789543	16929426	-2.548	-2.689	0.281	-8.427	-8.417	23.847	27.606	20.089	0.148	-5.875	-11.529	
000005	世纪星源	-1.22	4.86	3417052	16663863	-0.114	-0.096	-0.036	-0.237	-0.135	5.082	5.432	4.731	-0.478	-2.638	-5.032	
000006	深振业Ａ	0.70	8.59	11431717	97475672	-0.025	-0.026	0.001	-0.055	0.075	8.531	8.902	8.159	1.979	1.737	0.507	
000007	全新好	0.12	16.62	6379205	105571864	-0.321	-0.366	0.090	-1.184	-0.778	16.344	18.433	14.256	7.260	5.323	1.251	
000008	神州高铁	-2.21	7.53	5770348	43798012	0.055	0.022	0.067	0.131	0.090	7.402	7.682	7.122	0.000	1.085	1.992	
000009	中国宝安	-1.17	8.45	42194736	352939872	0.103	0.071	0.063	0.293	0.331	8.169	8.663	7.675	2.715	3.543	3.893	
000010	美丽生态	-0.82	4.82	3706800	17937096	-0.117	-0.104	-0.027	-0.229	-0.150	5.000	5.366	4.634	0.661	-2.016	-3.952	
000011	深物业A	-2.00	19.12	8333333	159805616	-0.153	-0.112	-0.083	-0.355	0.125	19.472	20.834	18.110	0.385	-0.152	-2.726	
000012	南 玻Ａ	-0.82	8.45	18072512	153396656	0.145	0.123	0.044	0.478	0.348	8.305	8.837	7.773	-1.439	-0.246	2.460	
000014	沙河股份	0.71	16.93	1607596	27089256	-0.128	-0.152	0.048	-0.412	-0.378	16.906	17.172	16.639	0.178	0.534	-0.093	
000016	深康佳Ａ	2.92	5.28	22701760	118392384	0.103	0.130	-0.055	0.362	0.500	5.174	5.621	4.727	2.524	0.699	3.699	
000017	深中华A	-1.38	7.88	2157800	17013780	-0.240	-0.185	-0.109	-0.465	-0.217	8.410	9.301	7.520	-0.379	-3.323	-6.865	
000018	神州长城	0.55	7.31	14755244	107704336	-0.179	-0.170	-0.019	-0.394	-0.279	7.464	7.956	6.973	1.551	-0.250	-3.029	
000019	深深宝Ａ	-2.67	11.28	12237062	139594784	-0.193	-0.106	-0.175	-0.183	0.321	11.913	13.318	10.509	-0.309	-3.197	-6.101	
000020	深华发Ａ					-0.871	-0.695	-0.353	-2.306	-1.532	21.031	23.389	18.672	-2.307	-5.146	-9.136	
000021	深科技	-0.72	8.32	6160614	51379056	-0.063	-0.033	-0.060	-0.087	0.123	8.500	8.966	8.033	0.564	-0.637	-2.314	
000022	深赤湾Ａ	-1.24	27.84	6399239	180699664	-0.055	0.221	-0.552	0.924	1.553	28.886	30.801	26.971	-1.037	-2.655	-5.211	
