1600519贵州茅台28.52 酿酒行业4740亿

2600000浦发银行6.38 银行3463亿

3601166兴业银行5.25 银行3081亿

4600104上汽集团9.36 汽车行业2881亿

5601668中国建筑8.71 工程建设2877亿

6000333美的集团12.79 家电行业2185亿

7002415海康威视30.80 安防设备1992亿

8000651格力电器12.22 家电行业1830亿

9000858五 粮 液23.59 酿酒行业1605亿

10600050中国联通1013.92 电信运营1562亿

11000001平安银行6.94 银行1569亿

12601169北京银行7.34 银行1463亿

13600019宝钢股份19.13 钢铁行业1428亿

14601229上海银行9.90 银行1440亿

15601211国泰君安14.52 券商信托1429亿

16001979招商蛇口14.74 房地产1412亿

17601989中国重工119.53 船舶制造1350亿

18600018上港集团25.91 港口水运1367亿

19002736国信证券24.92 券商信托1231亿

20600015华夏银行6.17 银行1203亿

21601985中国核电22.69 机械行业1138亿

22600887伊利股份19.49 食品饮料1141亿

23600048保利地产11.98 房地产1136亿

24000725京东方Ａ650.37 电子元件1220亿

25601006大秦铁路15.86 交运物流1088亿

26601669中国电建15.26 工程建设1089亿

27600010包钢股份316.56 钢铁行业993亿

28002252上海莱士59.05 医药制造971亿

29600518康美药业26.30 医药制造909亿

30000538云南白药28.23 医药制造888亿

31600340华夏幸福12.97 房地产796亿

32000895双汇发展17.08 食品饮料752亿

33601009南京银行8.50 银行720亿

34601018宁波港29.06 港口水运731亿

35600690青岛海尔13.89 家电行业708亿

36002142宁波银行8.37 银行708亿

37601901方正证券19.23 券商信托683亿

38002739万达院线45.23 文化传媒691亿

39002450康得新36.76 材料行业693亿

40600893中航动力74.54 航天航空664亿

41000768中航飞机161.04 航天航空665亿

42600703三安光电32.45 电子元件647亿

43600795国电电力9.74 电力行业629亿

44000625长安汽车7.30 汽车行业754亿

45000069华侨城Ａ15.44 房地产601亿

46600637东方明珠23.51 文化传媒605亿

47600309万华化学18.53 化工行业618亿

48000938紫光股份85.57 电子信息593亿

49000568泸州老窖28.28 酿酒行业568亿

50600031三一重工245.75 机械行业572亿

51601888中国国旅28.57 旅游酒店556亿

52600705中航资本24.25 多元金融564亿

53600221海南航空12.63 民航机场573亿

54600068葛洲坝18.39 工程建设550亿

55600061国投安信20.03 券商信托564亿

56600482中国动力53.12 材料行业570亿

57600663陆家嘴29.13 房地产772亿

58600009上海机场20.22 民航机场567亿

59000783长江证券25.03 券商信托552亿

60002673西部证券42.82 券商信托534亿

61600741华域汽车9.08 汽车行业541亿

62601198东兴证券35.90 券商信托525亿

63601377兴业证券19.01 券商信托518亿

64002475立讯精密57.00 电子元件517亿

65600649城投控股24.56 房地产515亿

66600297广汇汽车19.39 汽车行业518亿

67600816安信信托17.14 券商信托520亿

68600886国投电力11.23 电力行业510亿

69600383金地集团21.28 房地产487亿

70000046泛海控股19.60 房地产481亿

71600066宇通客车11.56 汽车行业467亿

72002230科大讯飞96.63 软件服务468亿

73601611中国核建68.77 工程建设461亿

74600111北方稀土985.57 有色金属451亿

75600085同仁堂46.62 医药制造435亿

76601117中国化学22.52 工程建设433亿

77600977中国电影50.24 文化传媒463亿

78601877正泰电器25.39 输配电气434亿

79000415渤海金控22.97 多元金融441亿

80002555三七互娱40.33 电子信息432亿

81000100TCL 集团21.56 家电行业442亿

82601216君正集团33.08 化工行业437亿

83600485信威集团22.52 通讯行业427亿

84600415小商品城38.38 商业百货425亿

85600489中金黄金76.98 贵金属419亿

86002411必康股份45.67 化工行业420亿

87600208新湖中宝45.33 房地产420亿

